Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°C)
32740	1.0295e-002	-1.5342e-002	-4.0001e-003	456.15
32741	3.9459e-003	-2.1572e-002	-4.0001e-003	415.2
32742	6.5465e-003	-1.6567e-002	-4.0001e-003	445.19
32743	4.7078e-003	-2.1586e-002	-4.7621e-003	434.15
32744	4.1554e-003	-2.1576e-002	-4.5249e-003	424.75
32745	7.5623e-003	-1.6818e-002	-4.7621e-003	464.71
32746	1.3119e-002	-1.6871e-002	-4.7621e-003	463.25
32747	1.5882e-002	-2.1798e-002	-4.7621e-003	434.04
32748	1.6644e-002	-2.1813e-002	-4.0001e-003	415.
32749	1.6434e-002	-2.1809e-002	-4.5251e-003	424.95
32750	1.4827e-002	-1.7245e-002	-4.0001e-003	438.9
32751	1.4358e-002	-1.6697e-004	-5.1431e-003	503.54
32752	1.5628e-002	-1.8718e-004	-3.8731e-003	464.15
32753	1.5256e-002	-1.8126e-004	-4.7711e-003	484.25
32754	1.0295e-002	5.2317e-003	-3.8731e-003	496.22
32755	1.4096e-002	3.6393e-003	-3.8731e-003	482.8
32756	4.9615e-003	-1.7391e-005	-3.8731e-003	466.9
32757	6.5532e-003	3.6993e-003	-3.8731e-003	484.38
32758	6.2313e-003	-3.7604e-005	-5.1431e-003	504.57
32759	5.5069e-003	-2.6073e-005	-4.9162e-003	490.43
32760	7.4557e-003	2.8054e-003	-5.1431e-003	517.78
32761	1.0327e-002	3.9616e-003	-5.1431e-003	524.31
32762	1.318e-002	2.7599e-003	-5.1431e-003	515.52
32763	1.0295e-002	1.5138e-002	-4.0001e-003	508.69
32764	1.6644e-002	2.1367e-002	-4.0001e-003	491.51
32765	1.4511e-002	1.674e-002	-4.0001e-003	498.28
32766	1.5882e-002	2.1382e-002	-4.7621e-003	518.71
32767	1.6421e-002	2.1371e-002	-4.5389e-003	504.89
32768	1.3027e-002	1.6613e-002	-4.7621e-003	528.55
32769	7.4702e-003	1.6666e-002	-4.7621e-003	527.86
32770	4.7078e-003	2.1594e-002	-4.7621e-003	520.75
32771	3.9459e-003	2.1608e-002	-4.0001e-003	491.97
32772	4.1567e-003	2.1604e-002	-4.5263e-003	506.46
32773	5.7622e-003	1.704e-002	-4.0001e-003	497.14
32774	1.0295e-002	-3.1961e-002	-3.787e-003	381.18
32775	1.0295e-002	-3.1961e-002	-7.087e-003	410.8
32776	8.8658e-003	-3.1961e-002	-4.612e-003	388.31
32777	8.8658e-003	-3.1961e-002	-6.262e-003	403.54
32778	1.0295e-002	-4.2061e-002	-3.787e-003	362.32
32779	1.0295e-002	-3.7011e-002	-3.787e-003	364.95
32780	1.0295e-002	-4.2061e-002	-7.087e-003	376.34
32781	8.8658e-003	-4.2061e-002	-4.612e-003	366.41
32782	8.8658e-003	-4.2061e-002	-6.262e-003	374.15
32783	1.0295e-002	-3.7011e-002	-7.087e-003	392.72
32784	1.0295e-002	-3.097e-002	-5.437e-003	400.87
32785	1.0295e-002	3.4408e-002	-2.0275e-002	846.32
32786	1.0295e-002	3.4408e-002	-1.8675e-002	811.8
32787	9.602e-003	3.4408e-002	-1.9875e-002	836.36
32788	9.602e-003	3.4408e-002	-1.9075e-002	819.18
32789	1.0295e-002	3.9408e-002	-2.0275e-002	848.52
32790	1.0295e-002	3.9408e-002	-1.8675e-002	803.91
32791	9.602e-003	3.9408e-002	-1.9875e-002	836.22
32792	9.602e-003	3.9408e-002	-1.9075e-002	814.96
32793	1.0295e-002	3.3927e-002	-1.9475e-002	827.01
32794	1.0295e-002	3.4408e-002	-2.7751e-003	503.05
32795	1.0295e-002	3.4408e-002	-1.1751e-003	485.43
32796	9.602e-003	3.4408e-002	-2.3751e-003	498.31
32797	9.602e-003	3.4408e-002	-1.5751e-003	489.82
32798	1.0295e-002	3.9408e-002	-2.7751e-003	509.53
32799	1.0295e-002	3.9408e-002	-1.1751e-003	487.31
32800	9.602e-003	3.9408e-002	-2.3751e-003	504.48
32801	9.602e-003	3.9408e-002	-1.5751e-003	493.44
32802	1.0295e-002	3.3927e-002	-1.9751e-003	493.48
32803	-2.4052e-003	4.0646e-002	1.2891e-002	340.31
32804	-5.7072e-003	4.0646e-002	9.5889e-003	379.66
32805	-4.7401e-003	4.0646e-002	1.1924e-002	356.41
32806	-6.4692e-003	4.1408e-002	9.5889e-003	379.72
32807	-2.4052e-003	4.1408e-002	1.3653e-002	340.27
32808	-5.2789e-003	4.1408e-002	1.2463e-002	355.83
32809	1.0295e-002	2.7838e-002	6.2869e-003	455.6
32810	1.0295e-002	1.5138e-002	6.2869e-003	437.03
32811	1.5794e-002	2.4663e-002	6.2869e-003	437.74
32812	1.5794e-002	1.8313e-002	6.2869e-003	428.55
32813	1.0295e-002	2.7838e-002	-4.0001e-003	516.75
32814	1.0295e-002	2.7838e-002	1.5329e-004	476.26
32815	1.4827e-002	2.5935e-002	-4.0001e-003	505.21
32816	1.0295e-002	1.5138e-002	1.1434e-003	453.52
32817	1.0295e-002	-1.5342e-002	6.2869e-003	401.93
32818	1.0295e-002	-2.8042e-002	6.2869e-003	354.22
32819	1.5794e-002	-1.8517e-002	6.2869e-003	384.4
32820	1.6199e-002	-2.4029e-002	6.2869e-003	364.67
32821	1.0295e-002	-1.5342e-002	1.1434e-003	415.14
32822	1.0295e-002	-2.8042e-002	-4.0001e-003	397.87
32823	1.4742e-002	-2.6225e-002	-4.0001e-003	403.
32824	1.0295e-002	-2.8042e-002	1.1434e-003	363.49
32825	2.2995e-002	-4.3299e-002	1.2891e-002	301.38
32826	2.6297e-002	-4.3299e-002	9.5889e-003	330.22
32827	2.533e-002	-4.3299e-002	1.1924e-002	314.31
32828	2.7059e-002	-4.4061e-002	9.5889e-003	330.48
32829	2.2995e-002	-4.4061e-002	1.3653e-002	301.
32830	2.5868e-002	-4.4061e-002	1.2463e-002	314.07
32831	-2.4052e-003	4.0646e-002	6.2869e-003	431.02
32832	-4.7401e-003	4.0646e-002	7.254e-003	406.91
32833	-5.7072e-003	-4.3299e-002	9.5889e-003	331.94
32834	-5.7072e-003	3.3014e-002	9.5889e-003	380.81
32835	-5.7072e-003	2.5383e-002	9.5889e-003	379.46
32836	-5.7072e-003	1.7752e-002	9.5889e-003	376.25
32837	-5.7072e-003	1.012e-002	9.5889e-003	371.53
32838	-5.7072e-003	2.489e-003	9.5889e-003	366.31
32839	-5.7072e-003	-5.1423e-003	9.5889e-003	359.35
32840	-5.7072e-003	-1.2774e-002	9.5889e-003	352.8
32841	-5.7072e-003	-2.0405e-002	9.5889e-003	346.27
32842	-5.7072e-003	-2.8036e-002	9.5889e-003	340.6
32843	-5.7072e-003	-3.5668e-002	9.5889e-003	336.1
32844	-2.4052e-003	-4.3299e-002	6.2869e-003	347.32
32845	-4.7401e-003	-4.3299e-002	7.254e-003	343.71
32846	-2.4052e-003	-3.5668e-002	6.2869e-003	351.6
32847	-2.4052e-003	-2.8036e-002	6.2869e-003	359.94
32848	-2.4052e-003	-2.0405e-002	6.2869e-003	370.21
32849	-2.4052e-003	-1.2774e-002	6.2869e-003	380.6
32850	-2.4052e-003	-5.1423e-003	6.2869e-003	390.13
32851	-2.4052e-003	2.489e-003	6.2869e-003	398.69
32852	-2.4052e-003	1.012e-002	6.2869e-003	406.74
32853	-2.4052e-003	1.7265e-002	6.2869e-003	412.58
32854	-2.4052e-003	2.5383e-002	6.2869e-003	419.59
32855	-2.4052e-003	3.1954e-002	6.2869e-003	425.27
32856	1.0295e-002	-5.4363e-003	-3.8731e-003	470.34
32857	1.4036e-002	-3.9039e-003	-3.8731e-003	463.63
32858	1.0295e-002	-5.4363e-003	6.2869e-003	407.67
32859	1.0295e-002	-5.4363e-003	1.2069e-003	421.57
32860	1.0295e-002	5.2317e-003	6.2869e-003	432.99
32861	1.4914e-002	2.5647e-003	6.2869e-003	419.41
32862	1.4914e-002	-2.7693e-003	6.2869e-003	406.38
32863	1.0295e-002	5.2317e-003	1.2069e-003	448.4
32864	1.0295e-002	-2.408e-002	-2.4475e-002	764.96
32865	1.0295e-002	-1.9305e-002	-2.4475e-002	816.6
32866	1.2363e-002	-2.2886e-002	-2.4475e-002	779.81
32867	1.2363e-002	-2.0498e-002	-2.4475e-002	802.67
32868	1.0295e-002	-2.408e-002	-4.7621e-003	433.8
32869	1.0295e-002	-2.408e-002	-1.7904e-002	558.73
32870	1.0295e-002	-2.408e-002	-1.1333e-002	481.61
32871	1.0295e-002	-1.9305e-002	-4.7621e-003	472.87
32872	1.2363e-002	-2.2886e-002	-4.7621e-003	440.23
32873	1.2363e-002	-2.0498e-002	-4.7621e-003	458.5
32874	1.0295e-002	-1.9305e-002	-1.7904e-002	626.28
32875	1.0295e-002	-1.9305e-002	-1.1333e-002	533.8
32876	1.0295e-002	1.91e-002	-2.4475e-002	952.9
32877	1.0295e-002	2.3875e-002	-2.4475e-002	971.53
32878	1.2363e-002	2.0294e-002	-2.4475e-002	959.17
32879	1.2363e-002	2.2682e-002	-2.4475e-002	964.17
32880	1.0295e-002	1.91e-002	-4.7621e-003	547.03
32881	1.0295e-002	1.91e-002	-1.7904e-002	747.24
32882	1.0295e-002	1.91e-002	-1.0716e-002	615.04
32883	1.0295e-002	2.3875e-002	-4.7621e-003	552.82
32884	1.2119e-002	1.9947e-002	-4.7621e-003	545.44
32885	1.2363e-002	2.2682e-002	-4.7621e-003	545.93
32886	1.0295e-002	2.3875e-002	-1.7904e-002	778.26
32887	1.0295e-002	2.3875e-002	-1.1333e-002	642.1
32888	8.2271e-003	2.2682e-002	-2.4475e-002	968.11
32889	8.1566e-003	2.0425e-002	-2.4475e-002	957.02
32890	8.2271e-003	2.2682e-002	-4.7621e-003	549.14
32891	8.4395e-003	1.9985e-002	-4.7621e-003	543.64
32892	8.2271e-003	-2.0498e-002	-2.4475e-002	808.05
32893	8.2271e-003	-2.2886e-002	-2.4475e-002	776.93
32894	8.2271e-003	-2.0498e-002	-4.7621e-003	460.72
32895	8.2271e-003	-2.2886e-002	-4.7621e-003	439.19
32896	-3.3705e-002	-4.2061e-002	-2.4475e-002	872.64
32897	-3.3705e-002	-4.2061e-002	-2.3475e-002	794.27
32898	-3.5941e-002	-4.2061e-002	-2.4475e-002	900.86
32899	5.4295e-002	-4.2061e-002	-2.4475e-002	795.16
32900	5.4295e-002	-4.2061e-002	-2.3475e-002	711.91
32901	5.6531e-002	-4.2061e-002	-2.4475e-002	813.74
32902	-8.4692e-003	-4.2061e-002	9.5889e-003	335.89
32903	-8.4692e-003	-4.2061e-002	1.7525e-002	316.44
32904	-8.4692e-003	-4.2061e-002	1.3557e-002	324.38
32905	-1.1469e-002	-4.2061e-002	2.0525e-002	319.01
32906	-9.3479e-003	-4.2061e-002	1.9646e-002	315.16
32907	-3.2823e-002	-4.2061e-002	2.0525e-002	327.99
32908	-1.8587e-002	-4.2061e-002	2.0525e-002	327.62
32909	-2.5705e-002	-4.2061e-002	2.0525e-002	329.27
32910	-3.5382e-002	-4.2061e-002	1.909e-002	328.91
