Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°C)
32740	1.0295e-002	-1.5342e-002	-4.0001e-003	450.1
32741	3.9459e-003	-2.1572e-002	-4.0001e-003	408.85
32742	6.5465e-003	-1.6567e-002	-4.0001e-003	439.11
32743	4.7078e-003	-2.1586e-002	-4.7621e-003	428.19
32744	4.1554e-003	-2.1576e-002	-4.5249e-003	418.68
32745	7.5623e-003	-1.6818e-002	-4.7621e-003	459.04
32746	1.3119e-002	-1.6871e-002	-4.7621e-003	457.37
32747	1.5882e-002	-2.1798e-002	-4.7621e-003	427.36
32748	1.6644e-002	-2.1813e-002	-4.0001e-003	408.05
32749	1.6434e-002	-2.1809e-002	-4.5251e-003	418.15
32750	1.4827e-002	-1.7245e-002	-4.0001e-003	432.52
32751	1.4358e-002	-1.6697e-004	-5.1431e-003	498.29
32752	1.5628e-002	-1.8718e-004	-3.8731e-003	458.01
32753	1.5256e-002	-1.8126e-004	-4.7711e-003	478.57
32754	1.0295e-002	5.2317e-003	-3.8731e-003	490.43
32755	1.4096e-002	3.6393e-003	-3.8731e-003	476.83
32756	4.9615e-003	-1.7391e-005	-3.8731e-003	460.84
32757	6.5532e-003	3.6993e-003	-3.8731e-003	478.46
32758	6.2313e-003	-3.7604e-005	-5.1431e-003	499.37
32759	5.5069e-003	-2.6073e-005	-4.9162e-003	484.92
32760	7.4557e-003	2.8054e-003	-5.1431e-003	512.6
32761	1.0327e-002	3.9616e-003	-5.1431e-003	519.33
32762	1.318e-002	2.7599e-003	-5.1431e-003	510.42
32763	1.0295e-002	1.5138e-002	-4.0001e-003	503.06
32764	1.6644e-002	2.1367e-002	-4.0001e-003	485.69
32765	1.4511e-002	1.674e-002	-4.0001e-003	492.49
32766	1.5882e-002	2.1382e-002	-4.7621e-003	513.86
32767	1.6421e-002	2.1371e-002	-4.5389e-003	499.53
32768	1.3027e-002	1.6613e-002	-4.7621e-003	523.46
32769	7.4702e-003	1.6666e-002	-4.7621e-003	522.77
32770	4.7078e-003	2.1594e-002	-4.7621e-003	515.97
32771	3.9459e-003	2.1608e-002	-4.0001e-003	486.13
32772	4.1567e-003	2.1604e-002	-4.5263e-003	501.15
32773	5.7622e-003	1.704e-002	-4.0001e-003	491.36
32774	1.0295e-002	-3.1961e-002	-3.787e-003	373.47
32775	1.0295e-002	-3.1961e-002	-7.087e-003	402.28
32776	8.8658e-003	-3.1961e-002	-4.612e-003	380.41
32777	8.8658e-003	-3.1961e-002	-6.262e-003	395.16
32778	1.0295e-002	-4.2061e-002	-3.787e-003	354.55
32779	1.0295e-002	-3.7011e-002	-3.787e-003	357.06
32780	1.0295e-002	-4.2061e-002	-7.087e-003	367.49
32781	8.8658e-003	-4.2061e-002	-4.612e-003	358.11
32782	8.8658e-003	-4.2061e-002	-6.262e-003	365.07
32783	1.0295e-002	-3.7011e-002	-7.087e-003	383.34
32784	1.0295e-002	-3.097e-002	-5.437e-003	393.04
32785	1.0295e-002	3.4408e-002	-2.0275e-002	792.04
32786	1.0295e-002	3.4408e-002	-1.8675e-002	796.28
32787	9.602e-003	3.4408e-002	-1.9875e-002	793.1
32788	9.602e-003	3.4408e-002	-1.9075e-002	795.36
32789	1.0295e-002	3.9408e-002	-2.0275e-002	790.32
32790	1.0295e-002	3.9408e-002	-1.8675e-002	791.32
32791	9.602e-003	3.9408e-002	-1.9875e-002	790.49
32792	9.602e-003	3.9408e-002	-1.9075e-002	791.14
32793	1.0295e-002	3.3927e-002	-1.9475e-002	793.91
32794	1.0295e-002	3.4408e-002	-2.7751e-003	496.81
32795	1.0295e-002	3.4408e-002	-1.1751e-003	478.59
32796	9.602e-003	3.4408e-002	-2.3751e-003	491.9
32797	9.602e-003	3.4408e-002	-1.5751e-003	483.13
32798	1.0295e-002	3.9408e-002	-2.7751e-003	503.66
32799	1.0295e-002	3.9408e-002	-1.1751e-003	480.53
32800	9.602e-003	3.9408e-002	-2.3751e-003	498.4
32801	9.602e-003	3.9408e-002	-1.5751e-003	486.94
32802	1.0295e-002	3.3927e-002	-1.9751e-003	486.91
32803	-2.4052e-003	4.0646e-002	1.2891e-002	332.1
32804	-5.7072e-003	4.0646e-002	9.5889e-003	371.84
32805	-4.7401e-003	4.0646e-002	1.1924e-002	348.38
32806	-6.4692e-003	4.1408e-002	9.5889e-003	371.9
32807	-2.4052e-003	4.1408e-002	1.3653e-002	332.05
32808	-5.2789e-003	4.1408e-002	1.2463e-002	347.79
32809	1.0295e-002	2.7838e-002	6.2869e-003	448.17
32810	1.0295e-002	1.5138e-002	6.2869e-003	429.84
32811	1.5794e-002	2.4663e-002	6.2869e-003	430.32
32812	1.5794e-002	1.8313e-002	6.2869e-003	421.24
32813	1.0295e-002	2.7838e-002	-4.0001e-003	511.41
32814	1.0295e-002	2.7838e-002	1.5329e-004	469.28
32815	1.4827e-002	2.5935e-002	-4.0001e-003	499.66
32816	1.0295e-002	1.5138e-002	1.1434e-003	446.62
32817	1.0295e-002	-1.5342e-002	6.2869e-003	394.74
32818	1.0295e-002	-2.8042e-002	6.2869e-003	346.56
32819	1.5794e-002	-1.8517e-002	6.2869e-003	377.08
32820	1.6199e-002	-2.4029e-002	6.2869e-003	357.14
32821	1.0295e-002	-1.5342e-002	1.1434e-003	408.16
32822	1.0295e-002	-2.8042e-002	-4.0001e-003	390.4
32823	1.4742e-002	-2.6225e-002	-4.0001e-003	395.44
32824	1.0295e-002	-2.8042e-002	1.1434e-003	355.9
32825	2.2995e-002	-4.3299e-002	1.2891e-002	293.59
32826	2.6297e-002	-4.3299e-002	9.5889e-003	322.35
32827	2.533e-002	-4.3299e-002	1.1924e-002	306.56
32828	2.7059e-002	-4.4061e-002	9.5889e-003	322.62
32829	2.2995e-002	-4.4061e-002	1.3653e-002	293.2
32830	2.5868e-002	-4.4061e-002	1.2463e-002	306.31
32831	-2.4052e-003	4.0646e-002	6.2869e-003	423.51
32832	-4.7401e-003	4.0646e-002	7.254e-003	399.28
32833	-5.7072e-003	-4.3299e-002	9.5889e-003	324.06
32834	-5.7072e-003	3.3014e-002	9.5889e-003	373.05
32835	-5.7072e-003	2.5383e-002	9.5889e-003	371.77
32836	-5.7072e-003	1.7752e-002	9.5889e-003	368.6
32837	-5.7072e-003	1.012e-002	9.5889e-003	363.93
32838	-5.7072e-003	2.489e-003	9.5889e-003	358.76
32839	-5.7072e-003	-5.1423e-003	9.5889e-003	351.81
32840	-5.7072e-003	-1.2774e-002	9.5889e-003	345.24
32841	-5.7072e-003	-2.0405e-002	9.5889e-003	338.63
32842	-5.7072e-003	-2.8036e-002	9.5889e-003	332.81
32843	-5.7072e-003	-3.5668e-002	9.5889e-003	328.09
32844	-2.4052e-003	-4.3299e-002	6.2869e-003	339.23
32845	-4.7401e-003	-4.3299e-002	7.254e-003	335.6
32846	-2.4052e-003	-3.5668e-002	6.2869e-003	343.56
32847	-2.4052e-003	-2.8036e-002	6.2869e-003	352.1
32848	-2.4052e-003	-2.0405e-002	6.2869e-003	362.66
32849	-2.4052e-003	-1.2774e-002	6.2869e-003	373.21
32850	-2.4052e-003	-5.1423e-003	6.2869e-003	382.79
32851	-2.4052e-003	2.489e-003	6.2869e-003	391.35
32852	-2.4052e-003	1.012e-002	6.2869e-003	399.37
32853	-2.4052e-003	1.7265e-002	6.2869e-003	405.17
32854	-2.4052e-003	2.5383e-002	6.2869e-003	412.12
32855	-2.4052e-003	3.1954e-002	6.2869e-003	417.76
32856	1.0295e-002	-5.4363e-003	-3.8731e-003	464.37
32857	1.4036e-002	-3.9039e-003	-3.8731e-003	457.57
32858	1.0295e-002	-5.4363e-003	6.2869e-003	400.49
32859	1.0295e-002	-5.4363e-003	1.2069e-003	414.62
32860	1.0295e-002	5.2317e-003	6.2869e-003	425.82
32861	1.4914e-002	2.5647e-003	6.2869e-003	412.22
32862	1.4914e-002	-2.7693e-003	6.2869e-003	399.18
32863	1.0295e-002	5.2317e-003	1.2069e-003	441.48
32864	1.0295e-002	-2.408e-002	-2.4475e-002	568.96
32865	1.0295e-002	-1.9305e-002	-2.4475e-002	626.27
32866	1.2363e-002	-2.2886e-002	-2.4475e-002	581.74
32867	1.2363e-002	-2.0498e-002	-2.4475e-002	607.68
32868	1.0295e-002	-2.408e-002	-4.7621e-003	426.95
32869	1.0295e-002	-2.408e-002	-1.7904e-002	520.96
32870	1.0295e-002	-2.408e-002	-1.1333e-002	472.25
32871	1.0295e-002	-1.9305e-002	-4.7621e-003	467.14
32872	1.2363e-002	-2.2886e-002	-4.7621e-003	433.53
32873	1.2363e-002	-2.0498e-002	-4.7621e-003	451.53
32874	1.0295e-002	-1.9305e-002	-1.7904e-002	591.23
32875	1.0295e-002	-1.9305e-002	-1.1333e-002	526.74
32876	1.0295e-002	1.91e-002	-2.4475e-002	769.04
32877	1.0295e-002	2.3875e-002	-2.4475e-002	789.94
32878	1.2363e-002	2.0294e-002	-2.4475e-002	775.96
32879	1.2363e-002	2.2682e-002	-2.4475e-002	781.96
32880	1.0295e-002	1.91e-002	-4.7621e-003	542.36
32881	1.0295e-002	1.91e-002	-1.7904e-002	715.54
32882	1.0295e-002	1.91e-002	-1.0716e-002	611.04
32883	1.0295e-002	2.3875e-002	-4.7621e-003	549.47
32884	1.2119e-002	1.9947e-002	-4.7621e-003	540.96
32885	1.2363e-002	2.2682e-002	-4.7621e-003	541.01
32886	1.0295e-002	2.3875e-002	-1.7904e-002	756.76
32887	1.0295e-002	2.3875e-002	-1.1333e-002	645.26
32888	8.2271e-003	2.2682e-002	-2.4475e-002	784.51
32889	8.1566e-003	2.0425e-002	-2.4475e-002	774.52
32890	8.2271e-003	2.2682e-002	-4.7621e-003	545.49
32891	8.4395e-003	1.9985e-002	-4.7621e-003	538.24
32892	8.2271e-003	-2.0498e-002	-2.4475e-002	611.11
32893	8.2271e-003	-2.2886e-002	-2.4475e-002	578.5
32894	8.2271e-003	-2.0498e-002	-4.7621e-003	455.01
32895	8.2271e-003	-2.2886e-002	-4.7621e-003	431.93
