Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°C)
32740	1.0295e-002	-1.5342e-002	-4.0001e-003	453.15
32741	3.9459e-003	-2.1572e-002	-4.0001e-003	411.89
32742	6.5465e-003	-1.6567e-002	-4.0001e-003	442.18
32743	4.7078e-003	-2.1586e-002	-4.7621e-003	431.04
32744	4.1554e-003	-2.1576e-002	-4.5249e-003	421.55
32745	7.5623e-003	-1.6818e-002	-4.7621e-003	461.86
32746	1.3119e-002	-1.6871e-002	-4.7621e-003	460.28
32747	1.5882e-002	-2.1798e-002	-4.7621e-003	430.58
32748	1.6644e-002	-2.1813e-002	-4.0001e-003	411.45
32749	1.6434e-002	-2.1809e-002	-4.5251e-003	421.46
32750	1.4827e-002	-1.7245e-002	-4.0001e-003	435.72
32751	1.4358e-002	-1.6697e-004	-5.1431e-003	500.89
32752	1.5628e-002	-1.8718e-004	-3.8731e-003	461.13
32753	1.5256e-002	-1.8126e-004	-4.7711e-003	481.42
32754	1.0295e-002	5.2317e-003	-3.8731e-003	493.38
32755	1.4096e-002	3.6393e-003	-3.8731e-003	479.87
32756	4.9615e-003	-1.7391e-005	-3.8731e-003	463.91
32757	6.5532e-003	3.6993e-003	-3.8731e-003	481.47
32758	6.2313e-003	-3.7604e-005	-5.1431e-003	501.94
32759	5.5069e-003	-2.6073e-005	-4.9162e-003	487.67
32760	7.4557e-003	2.8054e-003	-5.1431e-003	515.15
32761	1.0327e-002	3.9616e-003	-5.1431e-003	521.81
32762	1.318e-002	2.7599e-003	-5.1431e-003	512.96
32763	1.0295e-002	1.5138e-002	-4.0001e-003	505.95
32764	1.6644e-002	2.1367e-002	-4.0001e-003	488.71
32765	1.4511e-002	1.674e-002	-4.0001e-003	495.48
32766	1.5882e-002	2.1382e-002	-4.7621e-003	516.43
32767	1.6421e-002	2.1371e-002	-4.5389e-003	502.33
32768	1.3027e-002	1.6613e-002	-4.7621e-003	526.07
32769	7.4702e-003	1.6666e-002	-4.7621e-003	525.37
32770	4.7078e-003	2.1594e-002	-4.7621e-003	518.47
32771	3.9459e-003	2.1608e-002	-4.0001e-003	489.15
32772	4.1567e-003	2.1604e-002	-4.5263e-003	503.91
32773	5.7622e-003	1.704e-002	-4.0001e-003	494.32
32774	1.0295e-002	-3.1961e-002	-3.787e-003	377.2
32775	1.0295e-002	-3.1961e-002	-7.087e-003	406.03
32776	8.8658e-003	-3.1961e-002	-4.612e-003	384.15
32777	8.8658e-003	-3.1961e-002	-6.262e-003	398.94
32778	1.0295e-002	-4.2061e-002	-3.787e-003	358.39
32779	1.0295e-002	-3.7011e-002	-3.787e-003	360.89
32780	1.0295e-002	-4.2061e-002	-7.087e-003	371.63
32781	8.8658e-003	-4.2061e-002	-4.612e-003	362.04
32782	8.8658e-003	-4.2061e-002	-6.262e-003	369.39
32783	1.0295e-002	-3.7011e-002	-7.087e-003	387.41
32784	1.0295e-002	-3.097e-002	-5.437e-003	396.69
32785	1.0295e-002	3.4408e-002	-2.0275e-002	809.95
32786	1.0295e-002	3.4408e-002	-1.8675e-002	794.43
32787	9.602e-003	3.4408e-002	-1.9875e-002	805.32
32788	9.602e-003	3.4408e-002	-1.9075e-002	797.69
32789	1.0295e-002	3.9408e-002	-2.0275e-002	810.32
32790	1.0295e-002	3.9408e-002	-1.8675e-002	789.
32791	9.602e-003	3.9408e-002	-1.9875e-002	804.29
32792	9.602e-003	3.9408e-002	-1.9075e-002	794.27
32793	1.0295e-002	3.3927e-002	-1.9475e-002	800.9
32794	1.0295e-002	3.4408e-002	-2.7751e-003	500.12
32795	1.0295e-002	3.4408e-002	-1.1751e-003	482.12
32796	9.602e-003	3.4408e-002	-2.3751e-003	495.27
