Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°C)
32740	1.0295e-002	-1.5342e-002	-4.0001e-003	447.17
32741	3.9459e-003	-2.1572e-002	-4.0001e-003	405.91
32742	6.5465e-003	-1.6567e-002	-4.0001e-003	436.14
32743	4.7078e-003	-2.1586e-002	-4.7621e-003	425.19
32744	4.1554e-003	-2.1576e-002	-4.5249e-003	415.8
32745	7.5623e-003	-1.6818e-002	-4.7621e-003	456.23
32746	1.3119e-002	-1.6871e-002	-4.7621e-003	454.51
32747	1.5882e-002	-2.1798e-002	-4.7621e-003	424.39
32748	1.6644e-002	-2.1813e-002	-4.0001e-003	404.94
32749	1.6434e-002	-2.1809e-002	-4.5251e-003	415.1
32750	1.4827e-002	-1.7245e-002	-4.0001e-003	429.53
32751	1.4358e-002	-1.6697e-004	-5.1431e-003	495.65
32752	1.5628e-002	-1.8718e-004	-3.8731e-003	455.08
32753	1.5256e-002	-1.8126e-004	-4.7711e-003	475.78
32754	1.0295e-002	5.2317e-003	-3.8731e-003	487.59
32755	1.4096e-002	3.6393e-003	-3.8731e-003	473.95
32756	4.9615e-003	-1.7391e-005	-3.8731e-003	457.94
32757	6.5532e-003	3.6993e-003	-3.8731e-003	475.61
32758	6.2313e-003	-3.7604e-005	-5.1431e-003	496.78
32759	5.5069e-003	-2.6073e-005	-4.9162e-003	482.23
32760	7.4557e-003	2.8054e-003	-5.1431e-003	510.19
32761	1.0327e-002	3.9616e-003	-5.1431e-003	516.73
32762	1.318e-002	2.7599e-003	-5.1431e-003	507.8
32763	1.0295e-002	1.5138e-002	-4.0001e-003	500.23
32764	1.6644e-002	2.1367e-002	-4.0001e-003	482.75
32765	1.4511e-002	1.674e-002	-4.0001e-003	489.61
32766	1.5882e-002	2.1382e-002	-4.7621e-003	511.08
32767	1.6421e-002	2.1371e-002	-4.5389e-003	496.7
32768	1.3027e-002	1.6613e-002	-4.7621e-003	520.63
32769	7.4702e-003	1.6666e-002	-4.7621e-003	520.11
32770	4.7078e-003	2.1594e-002	-4.7621e-003	513.12
32771	3.9459e-003	2.1608e-002	-4.0001e-003	483.19
32772	4.1567e-003	2.1604e-002	-4.5263e-003	498.29
32773	5.7622e-003	1.704e-002	-4.0001e-003	488.48
32774	1.0295e-002	-3.1961e-002	-3.787e-003	370.17
32775	1.0295e-002	-3.1961e-002	-7.087e-003	399.04
32776	8.8658e-003	-3.1961e-002	-4.612e-003	377.13
32777	8.8658e-003	-3.1961e-002	-6.262e-003	391.97
32778	1.0295e-002	-4.2061e-002	-3.787e-003	351.23
32779	1.0295e-002	-3.7011e-002	-3.787e-003	353.71
32780	1.0295e-002	-4.2061e-002	-7.087e-003	365.68
32781	8.8658e-003	-4.2061e-002	-4.612e-003	354.96
32782	8.8658e-003	-4.2061e-002	-6.262e-003	362.24
32783	1.0295e-002	-3.7011e-002	-7.087e-003	380.29
32784	1.0295e-002	-3.097e-002	-5.437e-003	389.82
32785	1.0295e-002	3.4408e-002	-2.0275e-002	789.75
32786	1.0295e-002	3.4408e-002	-1.8675e-002	808.36
32787	9.602e-003	3.4408e-002	-1.9875e-002	794.14
32788	9.602e-003	3.4408e-002	-1.9075e-002	803.57
32789	1.0295e-002	3.9408e-002	-2.0275e-002	785.52
32790	1.0295e-002	3.9408e-002	-1.8675e-002	798.89
32791	9.602e-003	3.9408e-002	-1.9875e-002	788.89
32792	9.602e-003	3.9408e-002	-1.9075e-002	795.73
32793	1.0295e-002	3.3927e-002	-1.9475e-002	798.47
32794	1.0295e-002	3.4408e-002	-2.7751e-003	493.65
32795	1.0295e-002	3.4408e-002	-1.1751e-003	475.35
32796	9.602e-003	3.4408e-002	-2.3751e-003	488.72
32797	9.602e-003	3.4408e-002	-1.5751e-003	479.91
32798	1.0295e-002	3.9408e-002	-2.7751e-003	500.53
32799	1.0295e-002	3.9408e-002	-1.1751e-003	477.28
32800	9.602e-003	3.9408e-002	-2.3751e-003	495.24
