Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°C)
32740	1.0295e-002	-1.5342e-002	-4.0001e-003	454.14
32741	3.9459e-003	-2.1572e-002	-4.0001e-003	412.94
32742	6.5465e-003	-1.6567e-002	-4.0001e-003	443.17
32743	4.7078e-003	-2.1586e-002	-4.7621e-003	432.
32744	4.1554e-003	-2.1576e-002	-4.5249e-003	422.55
32745	7.5623e-003	-1.6818e-002	-4.7621e-003	462.77
32746	1.3119e-002	-1.6871e-002	-4.7621e-003	461.23
32747	1.5882e-002	-2.1798e-002	-4.7621e-003	431.67
32748	1.6644e-002	-2.1813e-002	-4.0001e-003	412.59
32749	1.6434e-002	-2.1809e-002	-4.5251e-003	422.57
32750	1.4827e-002	-1.7245e-002	-4.0001e-003	436.76
32751	1.4358e-002	-1.6697e-004	-5.1431e-003	501.74
32752	1.5628e-002	-1.8718e-004	-3.8731e-003	462.13
32753	1.5256e-002	-1.8126e-004	-4.7711e-003	482.34
32754	1.0295e-002	5.2317e-003	-3.8731e-003	494.32
32755	1.4096e-002	3.6393e-003	-3.8731e-003	480.84
32756	4.9615e-003	-1.7391e-005	-3.8731e-003	464.9
32757	6.5532e-003	3.6993e-003	-3.8731e-003	482.43
32758	6.2313e-003	-3.7604e-005	-5.1431e-003	502.77
32759	5.5069e-003	-2.6073e-005	-4.9162e-003	488.56
32760	7.4557e-003	2.8054e-003	-5.1431e-003	515.98
32761	1.0327e-002	3.9616e-003	-5.1431e-003	522.6
32762	1.318e-002	2.7599e-003	-5.1431e-003	513.77
32763	1.0295e-002	1.5138e-002	-4.0001e-003	506.86
32764	1.6644e-002	2.1367e-002	-4.0001e-003	489.66
32765	1.4511e-002	1.674e-002	-4.0001e-003	496.41
32766	1.5882e-002	2.1382e-002	-4.7621e-003	517.19
32767	1.6421e-002	2.1371e-002	-4.5389e-003	503.18
32768	1.3027e-002	1.6613e-002	-4.7621e-003	526.88
32769	7.4702e-003	1.6666e-002	-4.7621e-003	526.18
32770	4.7078e-003	2.1594e-002	-4.7621e-003	519.22
32771	3.9459e-003	2.1608e-002	-4.0001e-003	490.1
32772	4.1567e-003	2.1604e-002	-4.5263e-003	504.76
32773	5.7622e-003	1.704e-002	-4.0001e-003	495.26
32774	1.0295e-002	-3.1961e-002	-3.787e-003	378.48
32775	1.0295e-002	-3.1961e-002	-7.087e-003	407.45
32776	8.8658e-003	-3.1961e-002	-4.612e-003	385.46
32777	8.8658e-003	-3.1961e-002	-6.262e-003	400.34
32778	1.0295e-002	-4.2061e-002	-3.787e-003	359.66
32779	1.0295e-002	-3.7011e-002	-3.787e-003	362.21
32780	1.0295e-002	-4.2061e-002	-7.087e-003	373.08
32781	8.8658e-003	-4.2061e-002	-4.612e-003	363.43
32782	8.8658e-003	-4.2061e-002	-6.262e-003	370.88
32783	1.0295e-002	-3.7011e-002	-7.087e-003	389.
32784	1.0295e-002	-3.097e-002	-5.437e-003	397.99
32785	1.0295e-002	3.4408e-002	-2.0275e-002	820.52
32786	1.0295e-002	3.4408e-002	-1.8675e-002	798.36
32787	9.602e-003	3.4408e-002	-1.9875e-002	814.
32788	9.602e-003	3.4408e-002	-1.9075e-002	803.03
32789	1.0295e-002	3.9408e-002	-2.0275e-002	821.57
32790	1.0295e-002	3.9408e-002	-1.8675e-002	792.18
32791	9.602e-003	3.9408e-002	-1.9875e-002	813.34
32792	9.602e-003	3.9408e-002	-1.9075e-002	799.43
32793	1.0295e-002	3.3927e-002	-1.9475e-002	807.84
32794	1.0295e-002	3.4408e-002	-2.7751e-003	501.14
32795	1.0295e-002	3.4408e-002	-1.1751e-003	483.26
32796	9.602e-003	3.4408e-002	-2.3751e-003	496.32
32797	9.602e-003	3.4408e-002	-1.5751e-003	487.71
32798	1.0295e-002	3.9408e-002	-2.7751e-003	507.77
32799	1.0295e-002	3.9408e-002	-1.1751e-003	485.16
32800	9.602e-003	3.9408e-002	-2.3751e-003	502.63
32801	9.602e-003	3.9408e-002	-1.5751e-003	491.4
32802	1.0295e-002	3.3927e-002	-1.9751e-003	491.42
32803	-2.4052e-003	4.0646e-002	1.2891e-002	337.58
32804	-5.7072e-003	4.0646e-002	9.5889e-003	377.06
32805	-4.7401e-003	4.0646e-002	1.1924e-002	353.75
32806	-6.4692e-003	4.1408e-002	9.5889e-003	377.12
32807	-2.4052e-003	4.1408e-002	1.3653e-002	337.54
32808	-5.2789e-003	4.1408e-002	1.2463e-002	353.16
32809	1.0295e-002	2.7838e-002	6.2869e-003	453.16
32810	1.0295e-002	1.5138e-002	6.2869e-003	434.65
32811	1.5794e-002	2.4663e-002	6.2869e-003	435.29
32812	1.5794e-002	1.8313e-002	6.2869e-003	426.13
32813	1.0295e-002	2.7838e-002	-4.0001e-003	515.13
32814	1.0295e-002	2.7838e-002	1.5329e-004	474.
32815	1.4827e-002	2.5935e-002	-4.0001e-003	503.47
32816	1.0295e-002	1.5138e-002	1.1434e-003	451.26
32817	1.0295e-002	-1.5342e-002	6.2869e-003	399.55
32818	1.0295e-002	-2.8042e-002	6.2869e-003	351.65
32819	1.5794e-002	-1.8517e-002	6.2869e-003	381.96
32820	1.6199e-002	-2.4029e-002	6.2869e-003	362.14
32821	1.0295e-002	-1.5342e-002	1.1434e-003	412.84
32822	1.0295e-002	-2.8042e-002	-4.0001e-003	395.22
32823	1.4742e-002	-2.6225e-002	-4.0001e-003	400.3
32824	1.0295e-002	-2.8042e-002	1.1434e-003	360.93
32825	2.2995e-002	-4.3299e-002	1.2891e-002	298.78
32826	2.6297e-002	-4.3299e-002	9.5889e-003	327.53
32827	2.533e-002	-4.3299e-002	1.1924e-002	311.71
32828	2.7059e-002	-4.4061e-002	9.5889e-003	327.79
