Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°C)
32740	1.0295e-002	-1.5342e-002	-4.0001e-003	293.67
32741	3.9459e-003	-2.1572e-002	-4.0001e-003	251.69
32742	6.5465e-003	-1.6567e-002	-4.0001e-003	282.51
32743	4.7078e-003	-2.1586e-002	-4.7621e-003	273.28
32744	4.1554e-003	-2.1576e-002	-4.5249e-003	262.79
32745	7.5623e-003	-1.6818e-002	-4.7621e-003	305.49
32746	1.3119e-002	-1.6871e-002	-4.7621e-003	303.75
32747	1.5882e-002	-2.1798e-002	-4.7621e-003	272.76
32748	1.6644e-002	-2.1813e-002	-4.0001e-003	251.27
32749	1.6434e-002	-2.1809e-002	-4.5251e-003	262.58
32750	1.4827e-002	-1.7245e-002	-4.0001e-003	276.1
32751	1.4358e-002	-1.6697e-004	-5.1431e-003	344.7
32752	1.5628e-002	-1.8718e-004	-3.8731e-003	298.96
32753	1.5256e-002	-1.8126e-004	-4.7711e-003	322.45
32754	1.0295e-002	5.2317e-003	-3.8731e-003	328.98
32755	1.4096e-002	3.6393e-003	-3.8731e-003	316.2
32756	4.9615e-003	-1.7391e-005	-3.8731e-003	301.54
32757	6.5532e-003	3.6993e-003	-3.8731e-003	317.66
32758	6.2313e-003	-3.7604e-005	-5.1431e-003	345.66
32759	5.5069e-003	-2.6073e-005	-4.9162e-003	329.26
32760	7.4557e-003	2.8054e-003	-5.1431e-003	358.47
32761	1.0327e-002	3.9616e-003	-5.1431e-003	364.59
32762	1.318e-002	2.7599e-003	-5.1431e-003	355.95
32763	1.0295e-002	1.5138e-002	-4.0001e-003	340.01
32764	1.6644e-002	2.1367e-002	-4.0001e-003	317.91
32765	1.4511e-002	1.674e-002	-4.0001e-003	328.16
32766	1.5882e-002	2.1382e-002	-4.7621e-003	349.73
32767	1.6421e-002	2.1371e-002	-4.5389e-003	333.6
32768	1.3027e-002	1.6613e-002	-4.7621e-003	363.13
32769	7.4702e-003	1.6666e-002	-4.7621e-003	362.37
32770	4.7078e-003	2.1594e-002	-4.7621e-003	351.67
32771	3.9459e-003	2.1608e-002	-4.0001e-003	317.91
32772	4.1567e-003	2.1604e-002	-4.5263e-003	335.02
32773	5.7622e-003	1.704e-002	-4.0001e-003	326.66
32774	1.0295e-002	-3.1961e-002	-3.787e-003	210.97
32775	1.0295e-002	-3.1961e-002	-7.087e-003	242.7
32776	8.8658e-003	-3.1961e-002	-4.612e-003	218.67
32777	8.8658e-003	-3.1961e-002	-6.262e-003	234.94
32778	1.0295e-002	-4.2061e-002	-3.787e-003	188.4
32779	1.0295e-002	-3.7011e-002	-3.787e-003	192.12
32780	1.0295e-002	-4.2061e-002	-7.087e-003	201.77
32781	8.8658e-003	-4.2061e-002	-4.612e-003	192.4
32782	8.8658e-003	-4.2061e-002	-6.262e-003	199.04
32783	1.0295e-002	-3.7011e-002	-7.087e-003	220.23
32784	1.0295e-002	-3.097e-002	-5.437e-003	232.84
32785	1.0295e-002	3.4408e-002	-2.0275e-002	648.08
32786	1.0295e-002	3.4408e-002	-1.8675e-002	670.46
32787	9.602e-003	3.4408e-002	-1.9875e-002	653.66
32788	9.602e-003	3.4408e-002	-1.9075e-002	665.04
32789	1.0295e-002	3.9408e-002	-2.0275e-002	641.33
32790	1.0295e-002	3.9408e-002	-1.8675e-002	659.33
32791	9.602e-003	3.9408e-002	-1.9875e-002	645.89
32792	9.602e-003	3.9408e-002	-1.9075e-002	654.97
32793	1.0295e-002	3.3927e-002	-1.9475e-002	658.96
32794	1.0295e-002	3.4408e-002	-2.7751e-003	316.
32795	1.0295e-002	3.4408e-002	-1.1751e-003	294.46
32796	9.602e-003	3.4408e-002	-2.3751e-003	310.23
32797	9.602e-003	3.4408e-002	-1.5751e-003	299.85
32798	1.0295e-002	3.9408e-002	-2.7751e-003	322.73
32799	1.0295e-002	3.9408e-002	-1.1751e-003	295.41
32800	9.602e-003	3.9408e-002	-2.3751e-003	316.6
32801	9.602e-003	3.9408e-002	-1.5751e-003	302.97
32802	1.0295e-002	3.3927e-002	-1.9751e-003	304.54
32803	-2.4052e-003	4.0646e-002	1.2891e-002	152.51
32804	-5.7072e-003	4.0646e-002	9.5889e-003	193.98
32805	-4.7401e-003	4.0646e-002	1.1924e-002	169.97
32806	-6.4692e-003	4.1408e-002	9.5889e-003	194.05
32807	-2.4052e-003	4.1408e-002	1.3653e-002	152.41
32808	-5.2789e-003	4.1408e-002	1.2463e-002	169.4
32809	1.0295e-002	2.7838e-002	6.2869e-003	260.93
32810	1.0295e-002	1.5138e-002	6.2869e-003	255.
32811	1.5794e-002	2.4663e-002	6.2869e-003	248.67
32812	1.5794e-002	1.8313e-002	6.2869e-003	245.64
32813	1.0295e-002	2.7838e-002	-4.0001e-003	336.51
32814	1.0295e-002	2.7838e-002	1.5329e-004	285.58
32815	1.4827e-002	2.5935e-002	-4.0001e-003	327.41
32816	1.0295e-002	1.5138e-002	1.1434e-003	274.38
32817	1.0295e-002	-1.5342e-002	6.2869e-003	229.14
32818	1.0295e-002	-2.8042e-002	6.2869e-003	181.51
32819	1.5794e-002	-1.8517e-002	6.2869e-003	213.44
32820	1.6199e-002	-2.4029e-002	6.2869e-003	194.32
32821	1.0295e-002	-1.5342e-002	1.1434e-003	244.53
32822	1.0295e-002	-2.8042e-002	-4.0001e-003	230.23
32823	1.4742e-002	-2.6225e-002	-4.0001e-003	236.98
32824	1.0295e-002	-2.8042e-002	1.1434e-003	191.71
32825	2.2995e-002	-4.3299e-002	1.2891e-002	134.26
32826	2.6297e-002	-4.3299e-002	9.5889e-003	163.55
32827	2.533e-002	-4.3299e-002	1.1924e-002	147.61
32828	2.7059e-002	-4.4061e-002	9.5889e-003	163.88
32829	2.2995e-002	-4.4061e-002	1.3653e-002	133.84
32830	2.5868e-002	-4.4061e-002	1.2463e-002	147.35
32831	-2.4052e-003	4.0646e-002	6.2869e-003	241.27
32832	-4.7401e-003	4.0646e-002	7.254e-003	220.
32833	-5.7072e-003	-4.3299e-002	9.5889e-003	164.27
32834	-5.7072e-003	3.3014e-002	9.5889e-003	196.79
32835	-5.7072e-003	2.5383e-002	9.5889e-003	197.73
32836	-5.7072e-003	1.7752e-002	9.5889e-003	196.99
32837	-5.7072e-003	1.012e-002	9.5889e-003	194.85
32838	-5.7072e-003	2.489e-003	9.5889e-003	192.31
32839	-5.7072e-003	-5.1423e-003	9.5889e-003	187.49
32840	-5.7072e-003	-1.2774e-002	9.5889e-003	182.8
32841	-5.7072e-003	-2.0405e-002	9.5889e-003	177.6
32842	-5.7072e-003	-2.8036e-002	9.5889e-003	172.66
32843	-5.7072e-003	-3.5668e-002	9.5889e-003	168.39
32844	-2.4052e-003	-4.3299e-002	6.2869e-003	177.13
32845	-4.7401e-003	-4.3299e-002	7.254e-003	175.26
32846	-2.4052e-003	-3.5668e-002	6.2869e-003	181.92
32847	-2.4052e-003	-2.8036e-002	6.2869e-003	190.74
32848	-2.4052e-003	-2.0405e-002	6.2869e-003	200.85
32849	-2.4052e-003	-1.2774e-002	6.2869e-003	210.06
32850	-2.4052e-003	-5.1423e-003	6.2869e-003	217.75
32851	-2.4052e-003	2.489e-003	6.2869e-003	223.73
32852	-2.4052e-003	1.012e-002	6.2869e-003	228.84
32853	-2.4052e-003	1.7265e-002	6.2869e-003	231.85
32854	-2.4052e-003	2.5383e-002	6.2869e-003	235.06
32855	-2.4052e-003	3.1954e-002	6.2869e-003	237.71
32856	1.0295e-002	-5.4363e-003	-3.8731e-003	307.64
32857	1.4036e-002	-3.9039e-003	-3.8731e-003	300.13
32858	1.0295e-002	-5.4363e-003	6.2869e-003	233.98
32859	1.0295e-002	-5.4363e-003	1.2069e-003	250.18
32860	1.0295e-002	5.2317e-003	6.2869e-003	252.56
32861	1.4914e-002	2.5647e-003	6.2869e-003	241.72
32862	1.4914e-002	-2.7693e-003	6.2869e-003	232.18
32863	1.0295e-002	5.2317e-003	1.2069e-003	270.65
32864	1.0295e-002	-2.408e-002	-2.4475e-002	374.52
32865	1.0295e-002	-1.9305e-002	-2.4475e-002	434.86
32866	1.2363e-002	-2.2886e-002	-2.4475e-002	392.3
32867	1.2363e-002	-2.0498e-002	-2.4475e-002	424.
32868	1.0295e-002	-2.408e-002	-4.7621e-003	271.5
32869	1.0295e-002	-2.408e-002	-1.7904e-002	373.93
32870	1.0295e-002	-2.408e-002	-1.1333e-002	323.21
32871	1.0295e-002	-1.9305e-002	-4.7621e-003	315.14
32872	1.2363e-002	-2.2886e-002	-4.7621e-003	279.09
32873	1.2363e-002	-2.0498e-002	-4.7621e-003	297.97
32874	1.0295e-002	-1.9305e-002	-1.7904e-002	453.14
32875	1.0295e-002	-1.9305e-002	-1.1333e-002	384.65
