Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°C)
32740	1.0295e-002	-1.5342e-002	-4.0001e-003	91.566
32741	3.9459e-003	-2.1572e-002	-4.0001e-003	77.928
32742	6.5465e-003	-1.6567e-002	-4.0001e-003	88.329
32743	4.7078e-003	-2.1586e-002	-4.7621e-003	91.333
32744	4.1554e-003	-2.1576e-002	-4.5249e-003	84.916
32745	7.5623e-003	-1.6818e-002	-4.7621e-003	103.94
32746	1.3119e-002	-1.6871e-002	-4.7621e-003	102.62
32747	1.5882e-002	-2.1798e-002	-4.7621e-003	91.358
32748	1.6644e-002	-2.1813e-002	-4.0001e-003	78.25
32749	1.6434e-002	-2.1809e-002	-4.5251e-003	85.355
32750	1.4827e-002	-1.7245e-002	-4.0001e-003	86.058
32751	1.4358e-002	-1.6697e-004	-5.1431e-003	117.98
32752	1.5628e-002	-1.8718e-004	-3.8731e-003	90.955
32753	1.5256e-002	-1.8126e-004	-4.7711e-003	105.15
32754	1.0295e-002	5.2317e-003	-3.8731e-003	98.736
32755	1.4096e-002	3.6393e-003	-3.8731e-003	95.368
32756	4.9615e-003	-1.7391e-005	-3.8731e-003	92.363
32757	6.5532e-003	3.6993e-003	-3.8731e-003	96.211
32758	6.2313e-003	-3.7604e-005	-5.1431e-003	118.77
32759	5.5069e-003	-2.6073e-005	-4.9162e-003	109.29
32760	7.4557e-003	2.8054e-003	-5.1431e-003	123.11
32761	1.0327e-002	3.9616e-003	-5.1431e-003	124.
32762	1.318e-002	2.7599e-003	-5.1431e-003	121.13
32763	1.0295e-002	1.5138e-002	-4.0001e-003	103.68
32764	1.6644e-002	2.1367e-002	-4.0001e-003	97.145
32765	1.4511e-002	1.674e-002	-4.0001e-003	99.879
32766	1.5882e-002	2.1382e-002	-4.7621e-003	116.22
32767	1.6421e-002	2.1371e-002	-4.5389e-003	106.64
32768	1.3027e-002	1.6613e-002	-4.7621e-003	120.31
32769	7.4702e-003	1.6666e-002	-4.7621e-003	120.35
32770	4.7078e-003	2.1594e-002	-4.7621e-003	117.44
32771	3.9459e-003	2.1608e-002	-4.0001e-003	97.084
32772	4.1567e-003	2.1604e-002	-4.5263e-003	107.7
32773	5.7622e-003	1.704e-002	-4.0001e-003	99.822
32774	1.0295e-002	-3.1961e-002	-3.787e-003	54.552
32775	1.0295e-002	-3.1961e-002	-7.087e-003	72.849
32776	8.8658e-003	-3.1961e-002	-4.612e-003	59.09
32777	8.8658e-003	-3.1961e-002	-6.262e-003	68.614
32778	1.0295e-002	-4.2061e-002	-3.787e-003	41.148
32779	1.0295e-002	-3.7011e-002	-3.787e-003	43.793
32780	1.0295e-002	-4.2061e-002	-7.087e-003	46.183
32781	8.8658e-003	-4.2061e-002	-4.612e-003	42.791
32782	8.8658e-003	-4.2061e-002	-6.262e-003	45.323
32783	1.0295e-002	-3.7011e-002	-7.087e-003	57.361
32784	1.0295e-002	-3.097e-002	-5.437e-003	67.367
32785	1.0295e-002	3.4408e-002	-2.0275e-002	282.65
32786	1.0295e-002	3.4408e-002	-1.8675e-002	324.75
32787	9.602e-003	3.4408e-002	-1.9875e-002	293.39
32788	9.602e-003	3.4408e-002	-1.9075e-002	314.74
32789	1.0295e-002	3.9408e-002	-2.0275e-002	271.49
32790	1.0295e-002	3.9408e-002	-1.8675e-002	313.68
32791	9.602e-003	3.9408e-002	-1.9875e-002	282.41
32792	9.602e-003	3.9408e-002	-1.9075e-002	303.17
32793	1.0295e-002	3.3927e-002	-1.9475e-002	303.91
32794	1.0295e-002	3.4408e-002	-2.7751e-003	84.302
32795	1.0295e-002	3.4408e-002	-1.1751e-003	70.522
32796	9.602e-003	3.4408e-002	-2.3751e-003	80.596
32797	9.602e-003	3.4408e-002	-1.5751e-003	73.957
32798	1.0295e-002	3.9408e-002	-2.7751e-003	88.074
32799	1.0295e-002	3.9408e-002	-1.1751e-003	70.45
32800	9.602e-003	3.9408e-002	-2.3751e-003	84.204
32801	9.602e-003	3.9408e-002	-1.5751e-003	75.291
32802	1.0295e-002	3.3927e-002	-1.9751e-003	77.038
32803	-2.4052e-003	4.0646e-002	1.2891e-002	28.667
32804	-5.7072e-003	4.0646e-002	9.5889e-003	39.831
32805	-4.7401e-003	4.0646e-002	1.1924e-002	33.176
32806	-6.4692e-003	4.1408e-002	9.5889e-003	39.853
32807	-2.4052e-003	4.1408e-002	1.3653e-002	28.637
32808	-5.2789e-003	4.1408e-002	1.2463e-002	33.066
32809	1.0295e-002	2.7838e-002	6.2869e-003	52.014
32810	1.0295e-002	1.5138e-002	6.2869e-003	52.296
32811	1.5794e-002	2.4663e-002	6.2869e-003	51.846
32812	1.5794e-002	1.8313e-002	6.2869e-003	52.
32813	1.0295e-002	2.7838e-002	-4.0001e-003	100.01
32814	1.0295e-002	2.7838e-002	1.5329e-004	66.36
32815	1.4827e-002	2.5935e-002	-4.0001e-003	98.593
32816	1.0295e-002	1.5138e-002	1.1434e-003	62.957
32817	1.0295e-002	-1.5342e-002	6.2869e-003	49.45
32818	1.0295e-002	-2.8042e-002	6.2869e-003	38.614
32819	1.5794e-002	-1.8517e-002	6.2869e-003	48.26
32820	1.6199e-002	-2.4029e-002	6.2869e-003	44.525
32821	1.0295e-002	-1.5342e-002	1.1434e-003	58.483
32822	1.0295e-002	-2.8042e-002	-4.0001e-003	65.889
32823	1.4742e-002	-2.6225e-002	-4.0001e-003	71.166
32824	1.0295e-002	-2.8042e-002	1.1434e-003	43.924
32825	2.2995e-002	-4.3299e-002	1.2891e-002	28.571
32826	2.6297e-002	-4.3299e-002	9.5889e-003	38.195
32827	2.533e-002	-4.3299e-002	1.1924e-002	32.709
32828	2.7059e-002	-4.4061e-002	9.5889e-003	38.344
32829	2.2995e-002	-4.4061e-002	1.3653e-002	28.445
32830	2.5868e-002	-4.4061e-002	1.2463e-002	32.595
32831	-2.4052e-003	4.0646e-002	6.2869e-003	51.283
32832	-4.7401e-003	4.0646e-002	7.254e-003	46.792
32833	-5.7072e-003	-4.3299e-002	9.5889e-003	38.137
32834	-5.7072e-003	3.3014e-002	9.5889e-003	41.948
32835	-5.7072e-003	2.5383e-002	9.5889e-003	43.526
32836	-5.7072e-003	1.7752e-002	9.5889e-003	44.357
32837	-5.7072e-003	1.012e-002	9.5889e-003	44.705
32838	-5.7072e-003	2.489e-003	9.5889e-003	45.209
32839	-5.7072e-003	-5.1423e-003	9.5889e-003	44.331
32840	-5.7072e-003	-1.2774e-002	9.5889e-003	43.713
32841	-5.7072e-003	-2.0405e-002	9.5889e-003	42.748
32842	-5.7072e-003	-2.8036e-002	9.5889e-003	41.48
32843	-5.7072e-003	-3.5668e-002	9.5889e-003	40.096
32844	-2.4052e-003	-4.3299e-002	6.2869e-003	40.865
32845	-4.7401e-003	-4.3299e-002	7.254e-003	41.827
32846	-2.4052e-003	-3.5668e-002	6.2869e-003	43.327
32847	-2.4052e-003	-2.8036e-002	6.2869e-003	46.932
32848	-2.4052e-003	-2.0405e-002	6.2869e-003	49.687
32849	-2.4052e-003	-1.2774e-002	6.2869e-003	51.296
32850	-2.4052e-003	-5.1423e-003	6.2869e-003	52.443
32851	-2.4052e-003	2.489e-003	6.2869e-003	53.03
32852	-2.4052e-003	1.012e-002	6.2869e-003	53.301
32853	-2.4052e-003	1.7265e-002	6.2869e-003	53.359
32854	-2.4052e-003	2.5383e-002	6.2869e-003	53.011
32855	-2.4052e-003	3.1954e-002	6.2869e-003	51.955
32856	1.0295e-002	-5.4363e-003	-3.8731e-003	94.986
32857	1.4036e-002	-3.9039e-003	-3.8731e-003	91.811
32858	1.0295e-002	-5.4363e-003	6.2869e-003	50.042
32859	1.0295e-002	-5.4363e-003	1.2069e-003	59.308
32860	1.0295e-002	5.2317e-003	6.2869e-003	51.942
32861	1.4914e-002	2.5647e-003	6.2869e-003	51.789
32862	1.4914e-002	-2.7693e-003	6.2869e-003	50.728
32863	1.0295e-002	5.2317e-003	1.2069e-003	61.938
32864	1.0295e-002	-2.408e-002	-2.4475e-002	125.07
32865	1.0295e-002	-1.9305e-002	-2.4475e-002	156.52
32866	1.2363e-002	-2.2886e-002	-2.4475e-002	136.36
32867	1.2363e-002	-2.0498e-002	-2.4475e-002	152.98
32868	1.0295e-002	-2.408e-002	-4.7621e-003	90.844
32869	1.0295e-002	-2.408e-002	-1.7904e-002	155.03
32870	1.0295e-002	-2.408e-002	-1.1333e-002	128.97
32871	1.0295e-002	-1.9305e-002	-4.7621e-003	111.15
32872	1.2363e-002	-2.2886e-002	-4.7621e-003	94.934
