Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°C)
32740	1.0295e-002	-1.5342e-002	-4.0001e-003	22.019
32741	3.9459e-003	-2.1572e-002	-4.0001e-003	21.85
32742	6.5465e-003	-1.6567e-002	-4.0001e-003	22.013
32743	4.7078e-003	-2.1586e-002	-4.7621e-003	21.922
32744	4.1554e-003	-2.1576e-002	-4.5249e-003	21.829
32745	7.5623e-003	-1.6818e-002	-4.7621e-003	22.086
32746	1.3119e-002	-1.6871e-002	-4.7621e-003	22.041
32747	1.5882e-002	-2.1798e-002	-4.7621e-003	22.036
32748	1.6644e-002	-2.1813e-002	-4.0001e-003	22.005
32749	1.6434e-002	-2.1809e-002	-4.5251e-003	22.024
32750	1.4827e-002	-1.7245e-002	-4.0001e-003	22.007
32751	1.4358e-002	-1.6697e-004	-5.1431e-003	22.049
32752	1.5628e-002	-1.8718e-004	-3.8731e-003	22.012
32753	1.5256e-002	-1.8126e-004	-4.7711e-003	22.03
32754	1.0295e-002	5.2317e-003	-3.8731e-003	22.022
32755	1.4096e-002	3.6393e-003	-3.8731e-003	22.017
32756	4.9615e-003	-1.7391e-005	-3.8731e-003	22.019
32757	6.5532e-003	3.6993e-003	-3.8731e-003	22.039
32758	6.2313e-003	-3.7604e-005	-5.1431e-003	22.142
32759	5.5069e-003	-2.6073e-005	-4.9162e-003	22.107
32760	7.4557e-003	2.8054e-003	-5.1431e-003	22.272
32761	1.0327e-002	3.9616e-003	-5.1431e-003	22.057
32762	1.318e-002	2.7599e-003	-5.1431e-003	22.051
32763	1.0295e-002	1.5138e-002	-4.0001e-003	22.019
32764	1.6644e-002	2.1367e-002	-4.0001e-003	22.025
32765	1.4511e-002	1.674e-002	-4.0001e-003	22.025
32766	1.5882e-002	2.1382e-002	-4.7621e-003	22.07
32767	1.6421e-002	2.1371e-002	-4.5389e-003	22.041
32768	1.3027e-002	1.6613e-002	-4.7621e-003	22.108
32769	7.4702e-003	1.6666e-002	-4.7621e-003	22.152
32770	4.7078e-003	2.1594e-002	-4.7621e-003	22.032
32771	3.9459e-003	2.1608e-002	-4.0001e-003	22.033
32772	4.1567e-003	2.1604e-002	-4.5263e-003	22.034
32773	5.7622e-003	1.704e-002	-4.0001e-003	22.022
32774	1.0295e-002	-3.1961e-002	-3.787e-003	22.003
32775	1.0295e-002	-3.1961e-002	-7.087e-003	22.041
32776	8.8658e-003	-3.1961e-002	-4.612e-003	22.009
32777	8.8658e-003	-3.1961e-002	-6.262e-003	22.039
32778	1.0295e-002	-4.2061e-002	-3.787e-003	22.
32779	1.0295e-002	-3.7011e-002	-3.787e-003	22.001
32780	1.0295e-002	-4.2061e-002	-7.087e-003	22.004
32781	8.8658e-003	-4.2061e-002	-4.612e-003	21.999
32782	8.8658e-003	-4.2061e-002	-6.262e-003	22.011
32783	1.0295e-002	-3.7011e-002	-7.087e-003	22.006
32784	1.0295e-002	-3.097e-002	-5.437e-003	22.019
32785	1.0295e-002	3.4408e-002	-2.0275e-002	24.409
32786	1.0295e-002	3.4408e-002	-1.8675e-002	31.544
32787	9.602e-003	3.4408e-002	-1.9875e-002	25.656
32788	9.602e-003	3.4408e-002	-1.9075e-002	29.215
32789	1.0295e-002	3.9408e-002	-2.0275e-002	23.703
32790	1.0295e-002	3.9408e-002	-1.8675e-002	30.019
32791	9.602e-003	3.9408e-002	-1.9875e-002	24.794
32792	9.602e-003	3.9408e-002	-1.9075e-002	27.779
32793	1.0295e-002	3.3927e-002	-1.9475e-002	27.048
32794	1.0295e-002	3.4408e-002	-2.7751e-003	21.944
32795	1.0295e-002	3.4408e-002	-1.1751e-003	21.989
32796	9.602e-003	3.4408e-002	-2.3751e-003	21.966
32797	9.602e-003	3.4408e-002	-1.5751e-003	21.982
32798	1.0295e-002	3.9408e-002	-2.7751e-003	22.119
32799	1.0295e-002	3.9408e-002	-1.1751e-003	22.048
32800	9.602e-003	3.9408e-002	-2.3751e-003	22.231
32801	9.602e-003	3.9408e-002	-1.5751e-003	21.904
32802	1.0295e-002	3.3927e-002	-1.9751e-003	21.967
32803	-2.4052e-003	4.0646e-002	1.2891e-002	22.
32804	-5.7072e-003	4.0646e-002	9.5889e-003	22.
32805	-4.7401e-003	4.0646e-002	1.1924e-002	22.
32806	-6.4692e-003	4.1408e-002	9.5889e-003	22.
32807	-2.4052e-003	4.1408e-002	1.3653e-002	22.
32808	-5.2789e-003	4.1408e-002	1.2463e-002	22.
32809	1.0295e-002	2.7838e-002	6.2869e-003	22.
32810	1.0295e-002	1.5138e-002	6.2869e-003	22.
32811	1.5794e-002	2.4663e-002	6.2869e-003	22.
32812	1.5794e-002	1.8313e-002	6.2869e-003	22.
32813	1.0295e-002	2.7838e-002	-4.0001e-003	22.114
32814	1.0295e-002	2.7838e-002	1.5329e-004	22.006
32815	1.4827e-002	2.5935e-002	-4.0001e-003	22.009
32816	1.0295e-002	1.5138e-002	1.1434e-003	22.002
32817	1.0295e-002	-1.5342e-002	6.2869e-003	22.
32818	1.0295e-002	-2.8042e-002	6.2869e-003	22.
32819	1.5794e-002	-1.8517e-002	6.2869e-003	22.
32820	1.6199e-002	-2.4029e-002	6.2869e-003	22.
32821	1.0295e-002	-1.5342e-002	1.1434e-003	22.001
32822	1.0295e-002	-2.8042e-002	-4.0001e-003	22.013
32823	1.4742e-002	-2.6225e-002	-4.0001e-003	22.006
32824	1.0295e-002	-2.8042e-002	1.1434e-003	22.001
32825	2.2995e-002	-4.3299e-002	1.2891e-002	22.
32826	2.6297e-002	-4.3299e-002	9.5889e-003	22.
32827	2.533e-002	-4.3299e-002	1.1924e-002	22.
32828	2.7059e-002	-4.4061e-002	9.5889e-003	22.
32829	2.2995e-002	-4.4061e-002	1.3653e-002	22.
32830	2.5868e-002	-4.4061e-002	1.2463e-002	22.
32831	-2.4052e-003	4.0646e-002	6.2869e-003	22.002
32832	-4.7401e-003	4.0646e-002	7.254e-003	22.001
32833	-5.7072e-003	-4.3299e-002	9.5889e-003	22.
32834	-5.7072e-003	3.3014e-002	9.5889e-003	22.
32835	-5.7072e-003	2.5383e-002	9.5889e-003	22.
32836	-5.7072e-003	1.7752e-002	9.5889e-003	22.
32837	-5.7072e-003	1.012e-002	9.5889e-003	22.
32838	-5.7072e-003	2.489e-003	9.5889e-003	22.
32839	-5.7072e-003	-5.1423e-003	9.5889e-003	22.
32840	-5.7072e-003	-1.2774e-002	9.5889e-003	22.
32841	-5.7072e-003	-2.0405e-002	9.5889e-003	22.
32842	-5.7072e-003	-2.8036e-002	9.5889e-003	22.
32843	-5.7072e-003	-3.5668e-002	9.5889e-003	22.
32844	-2.4052e-003	-4.3299e-002	6.2869e-003	22.
32845	-4.7401e-003	-4.3299e-002	7.254e-003	22.
32846	-2.4052e-003	-3.5668e-002	6.2869e-003	22.
32847	-2.4052e-003	-2.8036e-002	6.2869e-003	21.998
32848	-2.4052e-003	-2.0405e-002	6.2869e-003	21.999
32849	-2.4052e-003	-1.2774e-002	6.2869e-003	22.
32850	-2.4052e-003	-5.1423e-003	6.2869e-003	22.
32851	-2.4052e-003	2.489e-003	6.2869e-003	22.
32852	-2.4052e-003	1.012e-002	6.2869e-003	22.
32853	-2.4052e-003	1.7265e-002	6.2869e-003	22.
32854	-2.4052e-003	2.5383e-002	6.2869e-003	22.
32855	-2.4052e-003	3.1954e-002	6.2869e-003	22.
32856	1.0295e-002	-5.4363e-003	-3.8731e-003	22.04
32857	1.4036e-002	-3.9039e-003	-3.8731e-003	22.009
32858	1.0295e-002	-5.4363e-003	6.2869e-003	22.
32859	1.0295e-002	-5.4363e-003	1.2069e-003	22.001
