Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°C)
32740	1.0295e-002	-1.5342e-002	-4.0001e-003	456.77
32741	3.9459e-003	-2.1572e-002	-4.0001e-003	415.91
32742	6.5465e-003	-1.6567e-002	-4.0001e-003	445.8
32743	4.7078e-003	-2.1586e-002	-4.7621e-003	434.85
32744	4.1554e-003	-2.1576e-002	-4.5249e-003	425.45
32745	7.5623e-003	-1.6818e-002	-4.7621e-003	465.33
32746	1.3119e-002	-1.6871e-002	-4.7621e-003	463.88
32747	1.5882e-002	-2.1798e-002	-4.7621e-003	434.79
32748	1.6644e-002	-2.1813e-002	-4.0001e-003	415.75
32749	1.6434e-002	-2.1809e-002	-4.5251e-003	425.7
32750	1.4827e-002	-1.7245e-002	-4.0001e-003	439.55
32751	1.4358e-002	-1.6697e-004	-5.1431e-003	504.12
32752	1.5628e-002	-1.8718e-004	-3.8731e-003	464.75
32753	1.5256e-002	-1.8126e-004	-4.7711e-003	484.83
32754	1.0295e-002	5.2317e-003	-3.8731e-003	496.8
32755	1.4096e-002	3.6393e-003	-3.8731e-003	483.39
32756	4.9615e-003	-1.7391e-005	-3.8731e-003	467.51
32757	6.5532e-003	3.6993e-003	-3.8731e-003	484.97
32758	6.2313e-003	-3.7604e-005	-5.1431e-003	505.15
32759	5.5069e-003	-2.6073e-005	-4.9162e-003	491.01
32760	7.4557e-003	2.8054e-003	-5.1431e-003	518.36
32761	1.0327e-002	3.9616e-003	-5.1431e-003	524.86
32762	1.318e-002	2.7599e-003	-5.1431e-003	516.08
32763	1.0295e-002	1.5138e-002	-4.0001e-003	509.24
32764	1.6644e-002	2.1367e-002	-4.0001e-003	492.06
32765	1.4511e-002	1.674e-002	-4.0001e-003	498.84
32766	1.5882e-002	2.1382e-002	-4.7621e-003	519.18
32767	1.6421e-002	2.1371e-002	-4.5389e-003	505.41
32768	1.3027e-002	1.6613e-002	-4.7621e-003	529.07
32769	7.4702e-003	1.6666e-002	-4.7621e-003	528.38
32770	4.7078e-003	2.1594e-002	-4.7621e-003	521.23
32771	3.9459e-003	2.1608e-002	-4.0001e-003	492.53
32772	4.1567e-003	2.1604e-002	-4.5263e-003	506.97
32773	5.7622e-003	1.704e-002	-4.0001e-003	497.7
32774	1.0295e-002	-3.1961e-002	-3.787e-003	382.02
32775	1.0295e-002	-3.1961e-002	-7.087e-003	411.92
32776	8.8658e-003	-3.1961e-002	-4.612e-003	389.21
32777	8.8658e-003	-3.1961e-002	-6.262e-003	404.59
32778	1.0295e-002	-4.2061e-002	-3.787e-003	363.15
32779	1.0295e-002	-3.7011e-002	-3.787e-003	365.8
32780	1.0295e-002	-4.2061e-002	-7.087e-003	377.41
32781	8.8658e-003	-4.2061e-002	-4.612e-003	367.33
32782	8.8658e-003	-4.2061e-002	-6.262e-003	375.19
32783	1.0295e-002	-3.7011e-002	-7.087e-003	393.97
32784	1.0295e-002	-3.097e-002	-5.437e-003	401.8
32785	1.0295e-002	3.4408e-002	-2.0275e-002	854.71
32786	1.0295e-002	3.4408e-002	-1.8675e-002	816.8
32787	9.602e-003	3.4408e-002	-1.9875e-002	843.82
32788	9.602e-003	3.4408e-002	-1.9075e-002	824.94
32789	1.0295e-002	3.9408e-002	-2.0275e-002	857.21
32790	1.0295e-002	3.9408e-002	-1.8675e-002	808.39
32791	9.602e-003	3.9408e-002	-1.9875e-002	843.79
32792	9.602e-003	3.9408e-002	-1.9075e-002	820.5
32793	1.0295e-002	3.3927e-002	-1.9475e-002	833.6
32794	1.0295e-002	3.4408e-002	-2.7751e-003	503.58
32795	1.0295e-002	3.4408e-002	-1.1751e-003	486.06
32796	9.602e-003	3.4408e-002	-2.3751e-003	498.88
32797	9.602e-003	3.4408e-002	-1.5751e-003	490.43
32798	1.0295e-002	3.9408e-002	-2.7751e-003	510.03
32799	1.0295e-002	3.9408e-002	-1.1751e-003	487.93
32800	9.602e-003	3.9408e-002	-2.3751e-003	505.01
32801	9.602e-003	3.9408e-002	-1.5751e-003	494.02
32802	1.0295e-002	3.3927e-002	-1.9751e-003	494.07
32803	-2.4052e-003	4.0646e-002	1.2891e-002	341.12
32804	-5.7072e-003	4.0646e-002	9.5889e-003	380.42
32805	-4.7401e-003	4.0646e-002	1.1924e-002	357.2
32806	-6.4692e-003	4.1408e-002	9.5889e-003	380.48
32807	-2.4052e-003	4.1408e-002	1.3653e-002	341.07
32808	-5.2789e-003	4.1408e-002	1.2463e-002	356.62
32809	1.0295e-002	2.7838e-002	6.2869e-003	456.32
32810	1.0295e-002	1.5138e-002	6.2869e-003	437.73
32811	1.5794e-002	2.4663e-002	6.2869e-003	438.46
32812	1.5794e-002	1.8313e-002	6.2869e-003	429.26
32813	1.0295e-002	2.7838e-002	-4.0001e-003	517.22
32814	1.0295e-002	2.7838e-002	1.5329e-004	476.91
32815	1.4827e-002	2.5935e-002	-4.0001e-003	505.72
32816	1.0295e-002	1.5138e-002	1.1434e-003	454.19
32817	1.0295e-002	-1.5342e-002	6.2869e-003	402.64
32818	1.0295e-002	-2.8042e-002	6.2869e-003	354.98
32819	1.5794e-002	-1.8517e-002	6.2869e-003	385.12
32820	1.6199e-002	-2.4029e-002	6.2869e-003	365.42
32821	1.0295e-002	-1.5342e-002	1.1434e-003	415.81
32822	1.0295e-002	-2.8042e-002	-4.0001e-003	398.71
32823	1.4742e-002	-2.6225e-002	-4.0001e-003	403.86
32824	1.0295e-002	-2.8042e-002	1.1434e-003	364.25
32825	2.2995e-002	-4.3299e-002	1.2891e-002	302.15
32826	2.6297e-002	-4.3299e-002	9.5889e-003	331.03
32827	2.533e-002	-4.3299e-002	1.1924e-002	315.09
32828	2.7059e-002	-4.4061e-002	9.5889e-003	331.3
32829	2.2995e-002	-4.4061e-002	1.3653e-002	301.77
32830	2.5868e-002	-4.4061e-002	1.2463e-002	314.84
32831	-2.4052e-003	4.0646e-002	6.2869e-003	431.75
32832	-4.7401e-003	4.0646e-002	7.254e-003	407.65
32833	-5.7072e-003	-4.3299e-002	9.5889e-003	332.75
32834	-5.7072e-003	3.3014e-002	9.5889e-003	381.57
32835	-5.7072e-003	2.5383e-002	9.5889e-003	380.22
32836	-5.7072e-003	1.7752e-002	9.5889e-003	377.
32837	-5.7072e-003	1.012e-002	9.5889e-003	372.27
32838	-5.7072e-003	2.489e-003	9.5889e-003	367.05
32839	-5.7072e-003	-5.1423e-003	9.5889e-003	360.09
32840	-5.7072e-003	-1.2774e-002	9.5889e-003	353.55
32841	-5.7072e-003	-2.0405e-002	9.5889e-003	347.04
32842	-5.7072e-003	-2.8036e-002	9.5889e-003	341.4
32843	-5.7072e-003	-3.5668e-002	9.5889e-003	336.94
32844	-2.4052e-003	-4.3299e-002	6.2869e-003	348.18
32845	-4.7401e-003	-4.3299e-002	7.254e-003	344.58
32846	-2.4052e-003	-3.5668e-002	6.2869e-003	352.47
32847	-2.4052e-003	-2.8036e-002	6.2869e-003	360.77
32848	-2.4052e-003	-2.0405e-002	6.2869e-003	370.98
32849	-2.4052e-003	-1.2774e-002	6.2869e-003	381.33
32850	-2.4052e-003	-5.1423e-003	6.2869e-003	390.85
32851	-2.4052e-003	2.489e-003	6.2869e-003	399.41
32852	-2.4052e-003	1.012e-002	6.2869e-003	407.46
32853	-2.4052e-003	1.7265e-002	6.2869e-003	413.3
32854	-2.4052e-003	2.5383e-002	6.2869e-003	420.32
32855	-2.4052e-003	3.1954e-002	6.2869e-003	426.01
32856	1.0295e-002	-5.4363e-003	-3.8731e-003	470.94
32857	1.4036e-002	-3.9039e-003	-3.8731e-003	464.24
32858	1.0295e-002	-5.4363e-003	6.2869e-003	408.37
32859	1.0295e-002	-5.4363e-003	1.2069e-003	422.24
32860	1.0295e-002	5.2317e-003	6.2869e-003	433.69
32861	1.4914e-002	2.5647e-003	6.2869e-003	420.11
32862	1.4914e-002	-2.7693e-003	6.2869e-003	407.08
32863	1.0295e-002	5.2317e-003	1.2069e-003	449.06
32864	1.0295e-002	-2.408e-002	-2.4475e-002	783.77
32865	1.0295e-002	-1.9305e-002	-2.4475e-002	834.87
32866	1.2363e-002	-2.2886e-002	-2.4475e-002	798.54
32867	1.2363e-002	-2.0498e-002	-2.4475e-002	821.19
32868	1.0295e-002	-2.408e-002	-4.7621e-003	434.63
32869	1.0295e-002	-2.408e-002	-1.7904e-002	565.25
32870	1.0295e-002	-2.408e-002	-1.1333e-002	483.3
32871	1.0295e-002	-1.9305e-002	-4.7621e-003	473.52
32872	1.2363e-002	-2.2886e-002	-4.7621e-003	441.02
32873	1.2363e-002	-2.0498e-002	-4.7621e-003	459.25
32874	1.0295e-002	-1.9305e-002	-1.7904e-002	632.39
32875	1.0295e-002	-1.9305e-002	-1.1333e-002	535.21
32876	1.0295e-002	1.91e-002	-2.4475e-002	969.92
32877	1.0295e-002	2.3875e-002	-2.4475e-002	988.26
32878	1.2363e-002	2.0294e-002	-2.4475e-002	976.07
32879	1.2363e-002	2.2682e-002	-2.4475e-002	980.98
32880	1.0295e-002	1.91e-002	-4.7621e-003	547.52
32881	1.0295e-002	1.91e-002	-1.7904e-002	752.79
32882	1.0295e-002	1.91e-002	-1.0716e-002	615.93
32883	1.0295e-002	2.3875e-002	-4.7621e-003	553.14
32884	1.2119e-002	1.9947e-002	-4.7621e-003	545.9
32885	1.2363e-002	2.2682e-002	-4.7621e-003	546.41
32886	1.0295e-002	2.3875e-002	-1.7904e-002	783.19
32887	1.0295e-002	2.3875e-002	-1.1333e-002	642.72
32888	8.2271e-003	2.2682e-002	-2.4475e-002	984.91
32889	8.1566e-003	2.0425e-002	-2.4475e-002	974.03
32890	8.2271e-003	2.2682e-002	-4.7621e-003	549.52
32891	8.4395e-003	1.9985e-002	-4.7621e-003	544.19
32892	8.2271e-003	-2.0498e-002	-2.4475e-002	826.57
32893	8.2271e-003	-2.2886e-002	-2.4475e-002	795.83
32894	8.2271e-003	-2.0498e-002	-4.7621e-003	461.39
32895	8.2271e-003	-2.2886e-002	-4.7621e-003	440.03
32896	-3.3705e-002	-4.2061e-002	-2.4475e-002	903.44
32897	-3.3705e-002	-4.2061e-002	-2.3475e-002	823.23
32898	-3.5941e-002	-4.2061e-002	-2.4475e-002	930.15
32899	5.4295e-002	-4.2061e-002	-2.4475e-002	823.9
32900	5.4295e-002	-4.2061e-002	-2.3475e-002	738.6
32901	5.6531e-002	-4.2061e-002	-2.4475e-002	841.37
32902	-8.4692e-003	-4.2061e-002	9.5889e-003	336.73
32903	-8.4692e-003	-4.2061e-002	1.7525e-002	317.22
32904	-8.4692e-003	-4.2061e-002	1.3557e-002	325.17
32905	-1.1469e-002	-4.2061e-002	2.0525e-002	319.78
32906	-9.3479e-003	-4.2061e-002	1.9646e-002	315.93
32907	-3.2823e-002	-4.2061e-002	2.0525e-002	328.76
32908	-1.8587e-002	-4.2061e-002	2.0525e-002	328.41
32909	-2.5705e-002	-4.2061e-002	2.0525e-002	330.04
32910	-3.5382e-002	-4.2061e-002	1.909e-002	329.67
32911	-3.9624e-002	-4.2061e-002	1.2156e-002	334.93
32912	-3.7503e-002	-4.2061e-002	1.5623e-002	333.05
32913	-4.004e-002	-4.2061e-002	1.0982e-002	335.81
32914	-4.218e-002	-4.2061e-002	-5.2717e-003	373.91
32915	-4.0753e-002	-4.2061e-002	5.5644e-003	340.56
32916	-4.1466e-002	-4.2061e-002	1.4632e-004	352.39
32917	-4.2205e-002	-4.2061e-002	-5.6633e-003	375.88
32918	-4.2205e-002	-4.2061e-002	-1.8077e-002	527.9
