Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°C)
32740	1.0295e-002	-1.5342e-002	-4.0001e-003	449.02
32741	3.9459e-003	-2.1572e-002	-4.0001e-003	407.81
32742	6.5465e-003	-1.6567e-002	-4.0001e-003	438.02
32743	4.7078e-003	-2.1586e-002	-4.7621e-003	427.16
32744	4.1554e-003	-2.1576e-002	-4.5249e-003	417.68
32745	7.5623e-003	-1.6818e-002	-4.7621e-003	458.02
32746	1.3119e-002	-1.6871e-002	-4.7621e-003	456.33
32747	1.5882e-002	-2.1798e-002	-4.7621e-003	426.25
32748	1.6644e-002	-2.1813e-002	-4.0001e-003	406.89
32749	1.6434e-002	-2.1809e-002	-4.5251e-003	417.01
32750	1.4827e-002	-1.7245e-002	-4.0001e-003	431.42
32751	1.4358e-002	-1.6697e-004	-5.1431e-003	497.34
32752	1.5628e-002	-1.8718e-004	-3.8731e-003	456.93
32753	1.5256e-002	-1.8126e-004	-4.7711e-003	477.55
32754	1.0295e-002	5.2317e-003	-3.8731e-003	489.39
32755	1.4096e-002	3.6393e-003	-3.8731e-003	475.77
32756	4.9615e-003	-1.7391e-005	-3.8731e-003	459.76
32757	6.5532e-003	3.6993e-003	-3.8731e-003	477.41
32758	6.2313e-003	-3.7604e-005	-5.1431e-003	498.42
32759	5.5069e-003	-2.6073e-005	-4.9162e-003	483.93
32760	7.4557e-003	2.8054e-003	-5.1431e-003	511.68
32761	1.0327e-002	3.9616e-003	-5.1431e-003	518.41
32762	1.318e-002	2.7599e-003	-5.1431e-003	509.49
32763	1.0295e-002	1.5138e-002	-4.0001e-003	502.02
32764	1.6644e-002	2.1367e-002	-4.0001e-003	484.61
32765	1.4511e-002	1.674e-002	-4.0001e-003	491.43
32766	1.5882e-002	2.1382e-002	-4.7621e-003	512.87
32767	1.6421e-002	2.1371e-002	-4.5389e-003	498.49
32768	1.3027e-002	1.6613e-002	-4.7621e-003	522.48
32769	7.4702e-003	1.6666e-002	-4.7621e-003	521.81
32770	4.7078e-003	2.1594e-002	-4.7621e-003	515.
32771	3.9459e-003	2.1608e-002	-4.0001e-003	485.05
32772	4.1567e-003	2.1604e-002	-4.5263e-003	500.13
32773	5.7622e-003	1.704e-002	-4.0001e-003	490.3
32774	1.0295e-002	-3.1961e-002	-3.787e-003	372.23
32775	1.0295e-002	-3.1961e-002	-7.087e-003	401.09
32776	8.8658e-003	-3.1961e-002	-4.612e-003	379.18
32777	8.8658e-003	-3.1961e-002	-6.262e-003	393.95
32778	1.0295e-002	-4.2061e-002	-3.787e-003	353.18
32779	1.0295e-002	-3.7011e-002	-3.787e-003	355.8
32780	1.0295e-002	-4.2061e-002	-7.087e-003	366.09
32781	8.8658e-003	-4.2061e-002	-4.612e-003	356.77
32782	8.8658e-003	-4.2061e-002	-6.262e-003	363.55
32783	1.0295e-002	-3.7011e-002	-7.087e-003	382.08
32784	1.0295e-002	-3.097e-002	-5.437e-003	391.84
32785	1.0295e-002	3.4408e-002	-2.0275e-002	790.92
32786	1.0295e-002	3.4408e-002	-1.8675e-002	801.2
32787	9.602e-003	3.4408e-002	-1.9875e-002	793.55
32788	9.602e-003	3.4408e-002	-1.9075e-002	798.86
32789	1.0295e-002	3.9408e-002	-2.0275e-002	788.69
32790	1.0295e-002	3.9408e-002	-1.8675e-002	795.04
32791	9.602e-003	3.9408e-002	-1.9875e-002	790.25
32792	9.602e-003	3.9408e-002	-1.9075e-002	793.48
32793	1.0295e-002	3.3927e-002	-1.9475e-002	795.92
32794	1.0295e-002	3.4408e-002	-2.7751e-003	495.65
32795	1.0295e-002	3.4408e-002	-1.1751e-003	477.38
32796	9.602e-003	3.4408e-002	-2.3751e-003	490.72
32797	9.602e-003	3.4408e-002	-1.5751e-003	481.93
32798	1.0295e-002	3.9408e-002	-2.7751e-003	502.5
32799	1.0295e-002	3.9408e-002	-1.1751e-003	479.32
32800	9.602e-003	3.9408e-002	-2.3751e-003	497.23
32801	9.602e-003	3.9408e-002	-1.5751e-003	485.75
32802	1.0295e-002	3.3927e-002	-1.9751e-003	485.72
32803	-2.4052e-003	4.0646e-002	1.2891e-002	330.72
32804	-5.7072e-003	4.0646e-002	9.5889e-003	370.53
32805	-4.7401e-003	4.0646e-002	1.1924e-002	347.03
32806	-6.4692e-003	4.1408e-002	9.5889e-003	370.58
32807	-2.4052e-003	4.1408e-002	1.3653e-002	330.67
32808	-5.2789e-003	4.1408e-002	1.2463e-002	346.45
32809	1.0295e-002	2.7838e-002	6.2869e-003	446.91
32810	1.0295e-002	1.5138e-002	6.2869e-003	428.62
32811	1.5794e-002	2.4663e-002	6.2869e-003	429.06
32812	1.5794e-002	1.8313e-002	6.2869e-003	420.
32813	1.0295e-002	2.7838e-002	-4.0001e-003	510.35
32814	1.0295e-002	2.7838e-002	1.5329e-004	468.07
32815	1.4827e-002	2.5935e-002	-4.0001e-003	498.6
32816	1.0295e-002	1.5138e-002	1.1434e-003	445.44
32817	1.0295e-002	-1.5342e-002	6.2869e-003	393.53
32818	1.0295e-002	-2.8042e-002	6.2869e-003	345.29
32819	1.5794e-002	-1.8517e-002	6.2869e-003	375.86
32820	1.6199e-002	-2.4029e-002	6.2869e-003	355.89
32821	1.0295e-002	-1.5342e-002	1.1434e-003	406.97
32822	1.0295e-002	-2.8042e-002	-4.0001e-003	389.21
32823	1.4742e-002	-2.6225e-002	-4.0001e-003	394.23
32824	1.0295e-002	-2.8042e-002	1.1434e-003	354.64
32825	2.2995e-002	-4.3299e-002	1.2891e-002	292.29
32826	2.6297e-002	-4.3299e-002	9.5889e-003	321.07
32827	2.533e-002	-4.3299e-002	1.1924e-002	305.27
32828	2.7059e-002	-4.4061e-002	9.5889e-003	321.34
32829	2.2995e-002	-4.4061e-002	1.3653e-002	291.9
32830	2.5868e-002	-4.4061e-002	1.2463e-002	305.03
32831	-2.4052e-003	4.0646e-002	6.2869e-003	422.24
32832	-4.7401e-003	4.0646e-002	7.254e-003	397.99
32833	-5.7072e-003	-4.3299e-002	9.5889e-003	322.78
32834	-5.7072e-003	3.3014e-002	9.5889e-003	371.75
32835	-5.7072e-003	2.5383e-002	9.5889e-003	370.47
32836	-5.7072e-003	1.7752e-002	9.5889e-003	367.32
32837	-5.7072e-003	1.012e-002	9.5889e-003	362.66
32838	-5.7072e-003	2.489e-003	9.5889e-003	357.49
32839	-5.7072e-003	-5.1423e-003	9.5889e-003	350.54
32840	-5.7072e-003	-1.2774e-002	9.5889e-003	343.98
32841	-5.7072e-003	-2.0405e-002	9.5889e-003	337.37
32842	-5.7072e-003	-2.8036e-002	9.5889e-003	331.54
32843	-5.7072e-003	-3.5668e-002	9.5889e-003	326.81
32844	-2.4052e-003	-4.3299e-002	6.2869e-003	337.94
32845	-4.7401e-003	-4.3299e-002	7.254e-003	334.33
32846	-2.4052e-003	-3.5668e-002	6.2869e-003	342.29
32847	-2.4052e-003	-2.8036e-002	6.2869e-003	350.84
32848	-2.4052e-003	-2.0405e-002	6.2869e-003	361.42
32849	-2.4052e-003	-1.2774e-002	6.2869e-003	371.97
32850	-2.4052e-003	-5.1423e-003	6.2869e-003	381.56
32851	-2.4052e-003	2.489e-003	6.2869e-003	390.12
32852	-2.4052e-003	1.012e-002	6.2869e-003	398.14
32853	-2.4052e-003	1.7265e-002	6.2869e-003	403.92
32854	-2.4052e-003	2.5383e-002	6.2869e-003	410.86
32855	-2.4052e-003	3.1954e-002	6.2869e-003	416.49
32856	1.0295e-002	-5.4363e-003	-3.8731e-003	463.31
32857	1.4036e-002	-3.9039e-003	-3.8731e-003	456.5
32858	1.0295e-002	-5.4363e-003	6.2869e-003	399.28
32859	1.0295e-002	-5.4363e-003	1.2069e-003	413.44
32860	1.0295e-002	5.2317e-003	6.2869e-003	424.61
32861	1.4914e-002	2.5647e-003	6.2869e-003	411.
32862	1.4914e-002	-2.7693e-003	6.2869e-003	397.97
32863	1.0295e-002	5.2317e-003	1.2069e-003	440.3
32864	1.0295e-002	-2.408e-002	-2.4475e-002	546.06
32865	1.0295e-002	-1.9305e-002	-2.4475e-002	605.98
32866	1.2363e-002	-2.2886e-002	-2.4475e-002	556.3
32867	1.2363e-002	-2.0498e-002	-2.4475e-002	583.63
32868	1.0295e-002	-2.408e-002	-4.7621e-003	425.86
32869	1.0295e-002	-2.408e-002	-1.7904e-002	519.38
32870	1.0295e-002	-2.408e-002	-1.1333e-002	471.46
32871	1.0295e-002	-1.9305e-002	-4.7621e-003	466.13
32872	1.2363e-002	-2.2886e-002	-4.7621e-003	432.43
32873	1.2363e-002	-2.0498e-002	-4.7621e-003	450.31
32874	1.0295e-002	-1.9305e-002	-1.7904e-002	589.2
32875	1.0295e-002	-1.9305e-002	-1.1333e-002	526.18
32876	1.0295e-002	1.91e-002	-2.4475e-002	745.14
32877	1.0295e-002	2.3875e-002	-2.4475e-002	766.24
32878	1.2363e-002	2.0294e-002	-2.4475e-002	751.91
32879	1.2363e-002	2.2682e-002	-2.4475e-002	757.32
32880	1.0295e-002	1.91e-002	-4.7621e-003	541.43
32881	1.0295e-002	1.91e-002	-1.7904e-002	714.05
32882	1.0295e-002	1.91e-002	-1.0716e-002	610.35
32883	1.0295e-002	2.3875e-002	-4.7621e-003	548.62
32884	1.2119e-002	1.9947e-002	-4.7621e-003	540.03
32885	1.2363e-002	2.2682e-002	-4.7621e-003	540.01
32886	1.0295e-002	2.3875e-002	-1.7904e-002	757.7
32887	1.0295e-002	2.3875e-002	-1.1333e-002	646.53
32888	8.2271e-003	2.2682e-002	-2.4475e-002	759.42
32889	8.1566e-003	2.0425e-002	-2.4475e-002	751.22
32890	8.2271e-003	2.2682e-002	-4.7621e-003	544.65
32891	8.4395e-003	1.9985e-002	-4.7621e-003	537.22
32892	8.2271e-003	-2.0498e-002	-2.4475e-002	585.81
32893	8.2271e-003	-2.2886e-002	-2.4475e-002	553.59
32894	8.2271e-003	-2.0498e-002	-4.7621e-003	454.
32895	8.2271e-003	-2.2886e-002	-4.7621e-003	430.71
32896	-3.3705e-002	-4.2061e-002	-2.4475e-002	451.03
32897	-3.3705e-002	-4.2061e-002	-2.3475e-002	428.97
32898	-3.5941e-002	-4.2061e-002	-2.4475e-002	478.8
32899	5.4295e-002	-4.2061e-002	-2.4475e-002	422.28
32900	5.4295e-002	-4.2061e-002	-2.3475e-002	401.84
32901	5.6531e-002	-4.2061e-002	-2.4475e-002	440.97
32902	-8.4692e-003	-4.2061e-002	9.5889e-003	326.6
32903	-8.4692e-003	-4.2061e-002	1.7525e-002	307.36
32904	-8.4692e-003	-4.2061e-002	1.3557e-002	315.43
32905	-1.1469e-002	-4.2061e-002	2.0525e-002	310.05
32906	-9.3479e-003	-4.2061e-002	1.9646e-002	306.12
32907	-3.2823e-002	-4.2061e-002	2.0525e-002	319.06
32908	-1.8587e-002	-4.2061e-002	2.0525e-002	318.76
32909	-2.5705e-002	-4.2061e-002	2.0525e-002	320.39
32910	-3.5382e-002	-4.2061e-002	1.909e-002	319.99
32911	-3.9624e-002	-4.2061e-002	1.2156e-002	325.26
32912	-3.7503e-002	-4.2061e-002	1.5623e-002	323.34
32913	-4.004e-002	-4.2061e-002	1.0982e-002	326.1
32914	-4.218e-002	-4.2061e-002	-5.2717e-003	360.87
32915	-4.0753e-002	-4.2061e-002	5.5644e-003	330.84
32916	-4.1466e-002	-4.2061e-002	1.4632e-004	342.21
32917	-4.2205e-002	-4.2061e-002	-5.6633e-003	362.4
32918	-4.2205e-002	-4.2061e-002	-1.8077e-002	393.27
32919	-4.2205e-002	-4.2061e-002	-1.187e-002	383.52
32920	-3.6705e-002	-4.2061e-002	-1.4475e-002	401.96
32921	-7.0521e-004	-4.2061e-002	-1.4475e-002	395.03
32922	-2.9505e-002	-4.2061e-002	-1.4475e-002	417.75
32923	-2.2305e-002	-4.2061e-002	-1.4475e-002	417.21
32924	-1.5105e-002	-4.2061e-002	-1.4475e-002	417.71
32925	-7.9052e-003	-4.2061e-002	-1.4475e-002	416.91
32926	5.2948e-003	-4.2061e-002	-2.0475e-002	399.11
32927	3.5374e-003	-4.2061e-002	-1.6232e-002	397.39
32928	5.2948e-003	-4.2061e-002	-2.1475e-002	402.16
32929	4.4909e-003	-4.2061e-002	-2.4475e-002	416.83
32930	1.6099e-002	-4.2061e-002	-2.4475e-002	418.4
32931	1.0295e-002	-4.2061e-002	-2.4475e-002	412.25
32932	1.5295e-002	-4.2061e-002	-2.1475e-002	402.57
32933	1.5295e-002	-4.2061e-002	-2.0475e-002	398.81
32934	2.1295e-002	-4.2061e-002	-1.4475e-002	396.23
32935	1.7052e-002	-4.2061e-002	-1.6232e-002	396.26
32936	5.7295e-002	-4.2061e-002	-1.4475e-002	400.52
32937	2.8495e-002	-4.2061e-002	-1.4475e-002	402.82
32938	3.5695e-002	-4.2061e-002	-1.4475e-002	412.52
32939	4.2895e-002	-4.2061e-002	-1.4475e-002	416.64
32940	5.0095e-002	-4.2061e-002	-1.4475e-002	415.56
32941	6.2795e-002	-4.2061e-002	-1.8077e-002	388.82
32942	6.2795e-002	-4.2061e-002	-5.6633e-003	358.59
32943	6.2795e-002	-4.2061e-002	-1.187e-002	378.96
32944	6.2769e-002	-4.2061e-002	-5.2717e-003	357.36
32945	6.0629e-002	-4.2061e-002	1.0982e-002	323.68
32946	6.2056e-002	-4.2061e-002	1.4632e-004	339.03
32947	6.1343e-002	-4.2061e-002	5.5644e-003	328.28
32948	6.0214e-002	-4.2061e-002	1.2156e-002	323.04
32949	5.5972e-002	-4.2061e-002	1.909e-002	318.15
32950	5.8093e-002	-4.2061e-002	1.5623e-002	321.28
32951	5.3413e-002	-4.2061e-002	2.0525e-002	316.74
32952	3.2059e-002	-4.2061e-002	2.0525e-002	308.22
32953	4.6295e-002	-4.2061e-002	2.0525e-002	318.19
32954	3.9177e-002	-4.2061e-002	2.0525e-002	316.57
32955	2.9059e-002	-4.2061e-002	1.7525e-002	305.66
32956	2.9937e-002	-4.2061e-002	1.9646e-002	304.14
32957	2.9059e-002	-4.2061e-002	9.5889e-003	324.36
32958	2.9059e-002	-4.2061e-002	1.3557e-002	313.33
32959	2.2995e-002	-4.2061e-002	3.5249e-003	339.89
32960	2.7727e-002	-4.2061e-002	5.7969e-003	335.99
32961	-2.4052e-003	-4.2061e-002	3.5249e-003	340.84
32962	1.6645e-002	-4.2061e-002	3.5249e-003	337.15
32963	1.0295e-002	-4.2061e-002	3.5249e-003	335.97
32964	3.9448e-003	-4.2061e-002	3.5249e-003	337.99
32965	-6.6931e-003	-4.2061e-002	5.301e-003	338.79
32966	1.1724e-002	-4.2061e-002	-6.262e-003	363.73
32967	1.1724e-002	-4.2061e-002	-4.612e-003	356.69
32968	2.2948e-003	-4.2061e-002	-6.9751e-003	368.45
32969	-3.9705e-002	-4.2061e-002	-6.9751e-003	370.05
32970	-4.7052e-003	-4.2061e-002	-6.9751e-003	373.45
32971	-1.1705e-002	-4.2061e-002	-6.9751e-003	371.44
32972	-1.8705e-002	-4.2061e-002	-6.9751e-003	371.51
32973	-2.5705e-002	-4.2061e-002	-6.9751e-003	375.64
32974	-3.2705e-002	-4.2061e-002	-6.9751e-003	372.2
32975	-3.9705e-002	-4.2061e-002	2.4883e-005	342.64
32976	-3.6705e-002	-4.2061e-002	3.0249e-003	336.72
32977	-3.8827e-002	-4.2061e-002	2.1462e-003	337.23
32978	-3.5941e-002	-4.2061e-002	3.0249e-003	337.3
32979	-3.3705e-002	-4.2061e-002	2.0249e-003	342.44
32980	-3.2705e-002	-4.2061e-002	2.0249e-003	343.28
32981	-3.2705e-002	-4.2061e-002	5.0249e-003	337.36
32982	-3.589e-002	-4.2061e-002	5.0249e-003	334.06
32983	-3.8865e-002	-4.2061e-002	8.4165e-003	329.93
32984	-3.8146e-002	-4.2061e-002	6.0468e-003	331.24
32985	-3.8594e-002	-4.2061e-002	1.0471e-002	328.18
32986	-3.8179e-002	-4.2061e-002	1.1645e-002	327.61
32987	-3.4542e-002	-4.2061e-002	1.759e-002	323.21
32988	-3.1982e-002	-4.2061e-002	1.9025e-002	322.07
32989	-1.2969e-002	-4.2061e-002	1.9025e-002	317.
32990	-2.5645e-002	-4.2061e-002	1.9025e-002	323.28
32991	-1.9307e-002	-4.2061e-002	1.9025e-002	322.22
32992	-9.9692e-003	-4.2061e-002	1.6025e-002	316.31
32993	-1.0848e-002	-4.2061e-002	1.8146e-002	315.6
32994	-9.9692e-003	-4.2061e-002	9.5889e-003	329.65
32995	-5.6785e-003	-4.2061e-002	2.7698e-003	345.79
32996	-8.8073e-003	-4.2061e-002	5.5606e-003	340.69
32997	-4.7052e-003	-4.2061e-002	2.0249e-003	346.29
32998	-3.7052e-003	-4.2061e-002	2.0249e-003	345.41
32999	-1.4691e-003	-4.2061e-002	3.0249e-003	340.95
33000	-7.0521e-004	-4.2061e-002	3.0249e-003	340.5
33001	2.2948e-003	-4.2061e-002	2.4883e-005	344.84
33002	1.4161e-003	-4.2061e-002	2.1462e-003	340.76
33003	6.0295e-002	-4.2061e-002	-6.9751e-003	365.09
33004	6.0295e-002	-4.2061e-002	2.4883e-005	339.41
33005	1.8295e-002	-4.2061e-002	-6.9751e-003	369.23
33006	5.3295e-002	-4.2061e-002	-6.9751e-003	371.87
33007	4.6295e-002	-4.2061e-002	-6.9751e-003	370.58
33008	3.9295e-002	-4.2061e-002	-6.9751e-003	375.88
33009	3.2295e-002	-4.2061e-002	-6.9751e-003	371.93
33010	2.5295e-002	-4.2061e-002	-6.9751e-003	374.63
33011	1.8295e-002	-4.2061e-002	2.4883e-005	343.47
33012	2.1295e-002	-4.2061e-002	3.0249e-003	339.41
33013	1.9173e-002	-4.2061e-002	2.1462e-003	339.77
33014	2.2059e-002	-4.2061e-002	3.0249e-003	340.09
33015	2.4295e-002	-4.2061e-002	2.0249e-003	344.27
33016	2.5295e-002	-4.2061e-002	2.0249e-003	344.79
33017	2.6268e-002	-4.2061e-002	2.7698e-003	343.93
33018	3.0559e-002	-4.2061e-002	9.5889e-003	327.73
33019	2.9397e-002	-4.2061e-002	5.5606e-003	337.8
33020	3.0559e-002	-4.2061e-002	1.6025e-002	314.66
33021	3.3559e-002	-4.2061e-002	1.9025e-002	314.84
33022	3.1437e-002	-4.2061e-002	1.8146e-002	314.03
33023	5.2572e-002	-4.2061e-002	1.9025e-002	319.48
33024	4.6234e-002	-4.2061e-002	1.9025e-002	321.03
33025	3.9897e-002	-4.2061e-002	1.9025e-002	320.13
33026	5.5131e-002	-4.2061e-002	1.759e-002	320.73
33027	5.8768e-002	-4.2061e-002	1.1645e-002	324.9
33028	5.9184e-002	-4.2061e-002	1.0471e-002	325.75
33029	5.9454e-002	-4.2061e-002	8.4165e-003	327.37
33030	5.648e-002	-4.2061e-002	5.0249e-003	331.64
33031	5.8735e-002	-4.2061e-002	6.0468e-003	329.13
33032	5.3295e-002	-4.2061e-002	5.0249e-003	334.81
33033	5.3295e-002	-4.2061e-002	2.0249e-003	340.36
33034	5.4295e-002	-4.2061e-002	2.0249e-003	339.84
33035	5.6531e-002	-4.2061e-002	3.0249e-003	334.67
33036	5.7295e-002	-4.2061e-002	3.0249e-003	334.16
33037	5.9416e-002	-4.2061e-002	2.1462e-003	334.69
33038	-3.7052e-003	-4.2061e-002	-2.4475e-002	392.5
33039	-3.7052e-003	-4.2061e-002	-2.3475e-002	385.54
33040	-1.4691e-003	-4.2061e-002	-2.4475e-002	404.49
33041	2.4295e-002	-4.2061e-002	-2.4475e-002	385.81
33042	2.4295e-002	-4.2061e-002	-2.3475e-002	384.01
33043	2.2059e-002	-4.2061e-002	-2.4475e-002	398.5
33044	6.4892e-002	-4.4823e-002	-5.9664e-003	360.03
33045	6.2795e-002	-4.4823e-002	-6.2346e-003	360.19
33046	6.2795e-002	-4.9141e-002	-6.2346e-003	358.59
33047	6.4892e-002	-4.9141e-002	-5.9664e-003	358.62
33048	6.2795e-002	-4.9903e-002	-7.0026e-003	358.62
33049	6.4992e-002	-4.9903e-002	-6.7219e-003	358.65
33050	6.4793e-002	-4.4061e-002	-5.2109e-003	356.96
33051	6.2788e-002	-4.4061e-002	-5.4675e-003	357.05
33052	6.2795e-002	-4.4086e-002	-5.6633e-003	357.75
33053	6.2795e-002	-4.4357e-002	-6.0746e-003	359.61
33054	6.4863e-002	-4.4284e-002	-5.7451e-003	359.15
33055	-2.4052e-003	4.1408e-002	5.5249e-003	423.44
