Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°C)
32740	1.0295e-002	-1.5342e-002	-4.0001e-003	42.316
32741	3.9459e-003	-2.1572e-002	-4.0001e-003	38.483
32742	6.5465e-003	-1.6567e-002	-4.0001e-003	41.583
32743	4.7078e-003	-2.1586e-002	-4.7621e-003	45.167
32744	4.1554e-003	-2.1576e-002	-4.5249e-003	41.889
32745	7.5623e-003	-1.6818e-002	-4.7621e-003	49.382
32746	1.3119e-002	-1.6871e-002	-4.7621e-003	48.44
32747	1.5882e-002	-2.1798e-002	-4.7621e-003	45.287
32748	1.6644e-002	-2.1813e-002	-4.0001e-003	38.924
32749	1.6434e-002	-2.1809e-002	-4.5251e-003	42.412
32750	1.4827e-002	-1.7245e-002	-4.0001e-003	40.701
32751	1.4358e-002	-1.6697e-004	-5.1431e-003	53.141
32752	1.5628e-002	-1.8718e-004	-3.8731e-003	41.055
32753	1.5256e-002	-1.8126e-004	-4.7711e-003	47.485
32754	1.0295e-002	5.2317e-003	-3.8731e-003	43.047
32755	1.4096e-002	3.6393e-003	-3.8731e-003	42.122
32756	4.9615e-003	-1.7391e-005	-3.8731e-003	41.824
32757	6.5532e-003	3.6993e-003	-3.8731e-003	42.698
32758	6.2313e-003	-3.7604e-005	-5.1431e-003	53.862
32759	5.5069e-003	-2.6073e-005	-4.9162e-003	49.621
32760	7.4557e-003	2.8054e-003	-5.1431e-003	55.389
32761	1.0327e-002	3.9616e-003	-5.1431e-003	54.791
32762	1.318e-002	2.7599e-003	-5.1431e-003	53.877
32763	1.0295e-002	1.5138e-002	-4.0001e-003	45.364
32764	1.6644e-002	2.1367e-002	-4.0001e-003	45.105
32765	1.4511e-002	1.674e-002	-4.0001e-003	44.554
32766	1.5882e-002	2.1382e-002	-4.7621e-003	54.417
32767	1.6421e-002	2.1371e-002	-4.5389e-003	49.769
32768	1.3027e-002	1.6613e-002	-4.7621e-003	53.801
32769	7.4702e-003	1.6666e-002	-4.7621e-003	54.26
32770	4.7078e-003	2.1594e-002	-4.7621e-003	55.324
32771	3.9459e-003	2.1608e-002	-4.0001e-003	45.28
32772	4.1567e-003	2.1604e-002	-4.5263e-003	50.595
32773	5.7622e-003	1.704e-002	-4.0001e-003	44.996
32774	1.0295e-002	-3.1961e-002	-3.787e-003	29.809
32775	1.0295e-002	-3.1961e-002	-7.087e-003	37.96
32776	8.8658e-003	-3.1961e-002	-4.612e-003	31.771
32777	8.8658e-003	-3.1961e-002	-6.262e-003	36.109
32778	1.0295e-002	-4.2061e-002	-3.787e-003	24.726
32779	1.0295e-002	-3.7011e-002	-3.787e-003	25.754
32780	1.0295e-002	-4.2061e-002	-7.087e-003	25.92
32781	8.8658e-003	-4.2061e-002	-4.612e-003	25.138
32782	8.8658e-003	-4.2061e-002	-6.262e-003	25.799
32783	1.0295e-002	-3.7011e-002	-7.087e-003	30.494
32784	1.0295e-002	-3.097e-002	-5.437e-003	35.353
32785	1.0295e-002	3.4408e-002	-2.0275e-002	154.44
32786	1.0295e-002	3.4408e-002	-1.8675e-002	199.97
32787	9.602e-003	3.4408e-002	-1.9875e-002	165.89
32788	9.602e-003	3.4408e-002	-1.9075e-002	189.
32789	1.0295e-002	3.9408e-002	-2.0275e-002	144.23
32790	1.0295e-002	3.9408e-002	-1.8675e-002	190.84
32791	9.602e-003	3.9408e-002	-1.9875e-002	156.11
32792	9.602e-003	3.9408e-002	-1.9075e-002	178.99
32793	1.0295e-002	3.3927e-002	-1.9475e-002	177.09
32794	1.0295e-002	3.4408e-002	-2.7751e-003	38.959
32795	1.0295e-002	3.4408e-002	-1.1751e-003	32.845
32796	9.602e-003	3.4408e-002	-2.3751e-003	37.271
32797	9.602e-003	3.4408e-002	-1.5751e-003	34.322
32798	1.0295e-002	3.9408e-002	-2.7751e-003	41.389
32799	1.0295e-002	3.9408e-002	-1.1751e-003	33.158
32800	9.602e-003	3.9408e-002	-2.3751e-003	39.643
32801	9.602e-003	3.9408e-002	-1.5751e-003	35.315
32802	1.0295e-002	3.3927e-002	-1.9751e-003	35.615
32803	-2.4052e-003	4.0646e-002	1.2891e-002	22.427
32804	-5.7072e-003	4.0646e-002	9.5889e-003	24.147
32805	-4.7401e-003	4.0646e-002	1.1924e-002	23.05
32806	-6.4692e-003	4.1408e-002	9.5889e-003	24.152
32807	-2.4052e-003	4.1408e-002	1.3653e-002	22.423
32808	-5.2789e-003	4.1408e-002	1.2463e-002	23.047
32809	1.0295e-002	2.7838e-002	6.2869e-003	25.908
32810	1.0295e-002	1.5138e-002	6.2869e-003	25.677
32811	1.5794e-002	2.4663e-002	6.2869e-003	25.982
32812	1.5794e-002	1.8313e-002	6.2869e-003	25.878
32813	1.0295e-002	2.7838e-002	-4.0001e-003	46.789
32814	1.0295e-002	2.7838e-002	1.5329e-004	31.122
32815	1.4827e-002	2.5935e-002	-4.0001e-003	46.203
32816	1.0295e-002	1.5138e-002	1.1434e-003	29.014
32817	1.0295e-002	-1.5342e-002	6.2869e-003	25.437
32818	1.0295e-002	-2.8042e-002	6.2869e-003	23.963
32819	1.5794e-002	-1.8517e-002	6.2869e-003	25.502
32820	1.6199e-002	-2.4029e-002	6.2869e-003	25.09
32821	1.0295e-002	-1.5342e-002	1.1434e-003	28.353
32822	1.0295e-002	-2.8042e-002	-4.0001e-003	34.544
32823	1.4742e-002	-2.6225e-002	-4.0001e-003	36.803
32824	1.0295e-002	-2.8042e-002	1.1434e-003	25.726
32825	2.2995e-002	-4.3299e-002	1.2891e-002	22.471
32826	2.6297e-002	-4.3299e-002	9.5889e-003	24.269
32827	2.533e-002	-4.3299e-002	1.1924e-002	23.159
32828	2.7059e-002	-4.4061e-002	9.5889e-003	24.308
32829	2.2995e-002	-4.4061e-002	1.3653e-002	22.453
32830	2.5868e-002	-4.4061e-002	1.2463e-002	23.128
32831	-2.4052e-003	4.0646e-002	6.2869e-003	26.286
32832	-4.7401e-003	4.0646e-002	7.254e-003	25.462
32833	-5.7072e-003	-4.3299e-002	9.5889e-003	24.258
32834	-5.7072e-003	3.3014e-002	9.5889e-003	24.793
32835	-5.7072e-003	2.5383e-002	9.5889e-003	25.256
32836	-5.7072e-003	1.7752e-002	9.5889e-003	25.468
32837	-5.7072e-003	1.012e-002	9.5889e-003	25.565
32838	-5.7072e-003	2.489e-003	9.5889e-003	25.839
32839	-5.7072e-003	-5.1423e-003	9.5889e-003	25.573
32840	-5.7072e-003	-1.2774e-002	9.5889e-003	25.541
32841	-5.7072e-003	-2.0405e-002	9.5889e-003	25.439
32842	-5.7072e-003	-2.8036e-002	9.5889e-003	25.206
32843	-5.7072e-003	-3.5668e-002	9.5889e-003	24.914
32844	-2.4052e-003	-4.3299e-002	6.2869e-003	24.735
32845	-4.7401e-003	-4.3299e-002	7.254e-003	25.109
32846	-2.4052e-003	-3.5668e-002	6.2869e-003	25.482
32847	-2.4052e-003	-2.8036e-002	6.2869e-003	26.401
32848	-2.4052e-003	-2.0405e-002	6.2869e-003	26.859
32849	-2.4052e-003	-1.2774e-002	6.2869e-003	26.969
32850	-2.4052e-003	-5.1423e-003	6.2869e-003	27.059
32851	-2.4052e-003	2.489e-003	6.2869e-003	27.096
32852	-2.4052e-003	1.012e-002	6.2869e-003	27.074
32853	-2.4052e-003	1.7265e-002	6.2869e-003	27.129
32854	-2.4052e-003	2.5383e-002	6.2869e-003	27.043
32855	-2.4052e-003	3.1954e-002	6.2869e-003	26.628
32856	1.0295e-002	-5.4363e-003	-3.8731e-003	42.568
32857	1.4036e-002	-3.9039e-003	-3.8731e-003	41.299
32858	1.0295e-002	-5.4363e-003	6.2869e-003	25.46
32859	1.0295e-002	-5.4363e-003	1.2069e-003	28.365
32860	1.0295e-002	5.2317e-003	6.2869e-003	25.61
32861	1.4914e-002	2.5647e-003	6.2869e-003	25.974
32862	1.4914e-002	-2.7693e-003	6.2869e-003	25.83
32863	1.0295e-002	5.2317e-003	1.2069e-003	28.632
32864	1.0295e-002	-2.408e-002	-2.4475e-002	53.432
32865	1.0295e-002	-1.9305e-002	-2.4475e-002	64.7
32866	1.2363e-002	-2.2886e-002	-2.4475e-002	58.771
32867	1.2363e-002	-2.0498e-002	-2.4475e-002	64.751
32868	1.0295e-002	-2.408e-002	-4.7621e-003	45.794
32869	1.0295e-002	-2.408e-002	-1.7904e-002	83.722
32870	1.0295e-002	-2.408e-002	-1.1333e-002	70.645
32871	1.0295e-002	-1.9305e-002	-4.7621e-003	52.826
32872	1.2363e-002	-2.2886e-002	-4.7621e-003	47.162
32873	1.2363e-002	-2.0498e-002	-4.7621e-003	48.563
32874	1.0295e-002	-1.9305e-002	-1.7904e-002	106.11
32875	1.0295e-002	-1.9305e-002	-1.1333e-002	87.924
32876	1.0295e-002	1.91e-002	-2.4475e-002	79.057
32877	1.0295e-002	2.3875e-002	-2.4475e-002	88.085
32878	1.2363e-002	2.0294e-002	-2.4475e-002	83.478
32879	1.2363e-002	2.2682e-002	-2.4475e-002	86.305
32880	1.0295e-002	1.91e-002	-4.7621e-003	59.62
32881	1.0295e-002	1.91e-002	-1.7904e-002	129.5
32882	1.0295e-002	1.91e-002	-1.0716e-002	96.832
32883	1.0295e-002	2.3875e-002	-4.7621e-003	64.82
32884	1.2119e-002	1.9947e-002	-4.7621e-003	60.394
32885	1.2363e-002	2.2682e-002	-4.7621e-003	61.285
32886	1.0295e-002	2.3875e-002	-1.7904e-002	165.73
32887	1.0295e-002	2.3875e-002	-1.1333e-002	128.65
32888	8.2271e-003	2.2682e-002	-2.4475e-002	87.365
32889	8.1566e-003	2.0425e-002	-2.4475e-002	82.609
32890	8.2271e-003	2.2682e-002	-4.7621e-003	64.214
32891	8.4395e-003	1.9985e-002	-4.7621e-003	58.554
32892	8.2271e-003	-2.0498e-002	-2.4475e-002	64.241
32893	8.2271e-003	-2.2886e-002	-2.4475e-002	57.577
32894	8.2271e-003	-2.0498e-002	-4.7621e-003	51.614
32895	8.2271e-003	-2.2886e-002	-4.7621e-003	45.982
32896	-3.3705e-002	-4.2061e-002	-2.4475e-002	27.05
32897	-3.3705e-002	-4.2061e-002	-2.3475e-002	27.897
32898	-3.5941e-002	-4.2061e-002	-2.4475e-002	28.161
32899	5.4295e-002	-4.2061e-002	-2.4475e-002	26.944
32900	5.4295e-002	-4.2061e-002	-2.3475e-002	27.647
32901	5.6531e-002	-4.2061e-002	-2.4475e-002	27.845
32902	-8.4692e-003	-4.2061e-002	9.5889e-003	24.869
32903	-8.4692e-003	-4.2061e-002	1.7525e-002	23.254
32904	-8.4692e-003	-4.2061e-002	1.3557e-002	23.829
32905	-1.1469e-002	-4.2061e-002	2.0525e-002	23.22
32906	-9.3479e-003	-4.2061e-002	1.9646e-002	23.079
32907	-3.2823e-002	-4.2061e-002	2.0525e-002	23.314
32908	-1.8587e-002	-4.2061e-002	2.0525e-002	23.642
32909	-2.5705e-002	-4.2061e-002	2.0525e-002	23.637
32910	-3.5382e-002	-4.2061e-002	1.909e-002	23.309
32911	-3.9624e-002	-4.2061e-002	1.2156e-002	23.591
32912	-3.7503e-002	-4.2061e-002	1.5623e-002	23.582
32913	-4.004e-002	-4.2061e-002	1.0982e-002	23.659
32914	-4.218e-002	-4.2061e-002	-5.2717e-003	26.08
32915	-4.0753e-002	-4.2061e-002	5.5644e-003	23.665
32916	-4.1466e-002	-4.2061e-002	1.4632e-004	24.297
32917	-4.2205e-002	-4.2061e-002	-5.6633e-003	26.25
32918	-4.2205e-002	-4.2061e-002	-1.8077e-002	28.732
32919	-4.2205e-002	-4.2061e-002	-1.187e-002	28.739
32920	-3.6705e-002	-4.2061e-002	-1.4475e-002	36.367
32921	-7.0521e-004	-4.2061e-002	-1.4475e-002	35.254
32922	-2.9505e-002	-4.2061e-002	-1.4475e-002	43.768
32923	-2.2305e-002	-4.2061e-002	-1.4475e-002	48.708
32924	-1.5105e-002	-4.2061e-002	-1.4475e-002	48.246
32925	-7.9052e-003	-4.2061e-002	-1.4475e-002	45.953
