Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°C)
32740	1.0295e-002	-1.5342e-002	-4.0001e-003	375.55
32741	3.9459e-003	-2.1572e-002	-4.0001e-003	332.07
32742	6.5465e-003	-1.6567e-002	-4.0001e-003	363.93
32743	4.7078e-003	-2.1586e-002	-4.7621e-003	353.05
32744	4.1554e-003	-2.1576e-002	-4.5249e-003	342.82
32745	7.5623e-003	-1.6818e-002	-4.7621e-003	385.91
32746	1.3119e-002	-1.6871e-002	-4.7621e-003	384.14
32747	1.5882e-002	-2.1798e-002	-4.7621e-003	352.31
32748	1.6644e-002	-2.1813e-002	-4.0001e-003	331.3
32749	1.6434e-002	-2.1809e-002	-4.5251e-003	342.3
32750	1.4827e-002	-1.7245e-002	-4.0001e-003	357.12
32751	1.4358e-002	-1.6697e-004	-5.1431e-003	427.09
32752	1.5628e-002	-1.8718e-004	-3.8731e-003	382.78
32753	1.5256e-002	-1.8126e-004	-4.7711e-003	405.45
32754	1.0295e-002	5.2317e-003	-3.8731e-003	415.85
32755	1.4096e-002	3.6393e-003	-3.8731e-003	401.89
32756	4.9615e-003	-1.7391e-005	-3.8731e-003	385.61
32757	6.5532e-003	3.6993e-003	-3.8731e-003	403.52
32758	6.2313e-003	-3.7604e-005	-5.1431e-003	428.17
32759	5.5069e-003	-2.6073e-005	-4.9162e-003	412.26
32760	7.4557e-003	2.8054e-003	-5.1431e-003	441.94
32761	1.0327e-002	3.9616e-003	-5.1431e-003	448.69
32762	1.318e-002	2.7599e-003	-5.1431e-003	439.45
32763	1.0295e-002	1.5138e-002	-4.0001e-003	428.38
32764	1.6644e-002	2.1367e-002	-4.0001e-003	407.93
32765	1.4511e-002	1.674e-002	-4.0001e-003	416.68
32766	1.5882e-002	2.1382e-002	-4.7621e-003	438.88
32767	1.6421e-002	2.1371e-002	-4.5389e-003	423.16
32768	1.3027e-002	1.6613e-002	-4.7621e-003	450.7
32769	7.4702e-003	1.6666e-002	-4.7621e-003	449.98
32770	4.7078e-003	2.1594e-002	-4.7621e-003	441.
32771	3.9459e-003	2.1608e-002	-4.0001e-003	408.21
32772	4.1567e-003	2.1604e-002	-4.5263e-003	424.75
32773	5.7622e-003	1.704e-002	-4.0001e-003	415.31
32774	1.0295e-002	-3.1961e-002	-3.787e-003	292.97
32775	1.0295e-002	-3.1961e-002	-7.087e-003	324.18
32776	8.8658e-003	-3.1961e-002	-4.612e-003	300.5
32777	8.8658e-003	-3.1961e-002	-6.262e-003	316.48
32778	1.0295e-002	-4.2061e-002	-3.787e-003	271.57
32779	1.0295e-002	-3.7011e-002	-3.787e-003	274.89
32780	1.0295e-002	-4.2061e-002	-7.087e-003	285.39
32781	8.8658e-003	-4.2061e-002	-4.612e-003	275.67
32782	8.8658e-003	-4.2061e-002	-6.262e-003	282.54
32783	1.0295e-002	-3.7011e-002	-7.087e-003	303.1
32784	1.0295e-002	-3.097e-002	-5.437e-003	314.28
32785	1.0295e-002	3.4408e-002	-2.0275e-002	736.77
32786	1.0295e-002	3.4408e-002	-1.8675e-002	756.41
32787	9.602e-003	3.4408e-002	-1.9875e-002	741.58
