Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°C)
32740	1.0295e-002	-1.5342e-002	-4.0001e-003	248.09
32741	3.9459e-003	-2.1572e-002	-4.0001e-003	209.39
32742	6.5465e-003	-1.6567e-002	-4.0001e-003	237.87
32743	4.7078e-003	-2.1586e-002	-4.7621e-003	230.52
32744	4.1554e-003	-2.1576e-002	-4.5249e-003	220.29
32745	7.5623e-003	-1.6818e-002	-4.7621e-003	260.68
32746	1.3119e-002	-1.6871e-002	-4.7621e-003	258.99
32747	1.5882e-002	-2.1798e-002	-4.7621e-003	230.15
32748	1.6644e-002	-2.1813e-002	-4.0001e-003	209.18
32749	1.6434e-002	-2.1809e-002	-4.5251e-003	220.25
32750	1.4827e-002	-1.7245e-002	-4.0001e-003	232.02
32751	1.4358e-002	-1.6697e-004	-5.1431e-003	296.74
32752	1.5628e-002	-1.8718e-004	-3.8731e-003	251.97
32753	1.5256e-002	-1.8126e-004	-4.7711e-003	275.03
32754	1.0295e-002	5.2317e-003	-3.8731e-003	278.48
32755	1.4096e-002	3.6393e-003	-3.8731e-003	267.14
32756	4.9615e-003	-1.7391e-005	-3.8731e-003	254.34
32757	6.5532e-003	3.6993e-003	-3.8731e-003	268.46
32758	6.2313e-003	-3.7604e-005	-5.1431e-003	297.61
32759	5.5069e-003	-2.6073e-005	-4.9162e-003	281.6
32760	7.4557e-003	2.8054e-003	-5.1431e-003	309.18
32761	1.0327e-002	3.9616e-003	-5.1431e-003	314.53
32762	1.318e-002	2.7599e-003	-5.1431e-003	306.71
32763	1.0295e-002	1.5138e-002	-4.0001e-003	288.18
32764	1.6644e-002	2.1367e-002	-4.0001e-003	266.72
32765	1.4511e-002	1.674e-002	-4.0001e-003	277.
32766	1.5882e-002	2.1382e-002	-4.7621e-003	297.73
32767	1.6421e-002	2.1371e-002	-4.5389e-003	282.04
32768	1.3027e-002	1.6613e-002	-4.7621e-003	311.06
32769	7.4702e-003	1.6666e-002	-4.7621e-003	310.35
32770	4.7078e-003	2.1594e-002	-4.7621e-003	299.51
32771	3.9459e-003	2.1608e-002	-4.0001e-003	266.58
32772	4.1567e-003	2.1604e-002	-4.5263e-003	283.33
32773	5.7622e-003	1.704e-002	-4.0001e-003	275.56
32774	1.0295e-002	-3.1961e-002	-3.787e-003	169.23
32775	1.0295e-002	-3.1961e-002	-7.087e-003	200.08
32776	8.8658e-003	-3.1961e-002	-4.612e-003	176.76
32777	8.8658e-003	-3.1961e-002	-6.262e-003	192.6
32778	1.0295e-002	-4.2061e-002	-3.787e-003	146.82
32779	1.0295e-002	-3.7011e-002	-3.787e-003	150.67
32780	1.0295e-002	-4.2061e-002	-7.087e-003	159.27
32781	8.8658e-003	-4.2061e-002	-4.612e-003	150.58
32782	8.8658e-003	-4.2061e-002	-6.262e-003	156.76
32783	1.0295e-002	-3.7011e-002	-7.087e-003	177.51
32784	1.0295e-002	-3.097e-002	-5.437e-003	190.63
32785	1.0295e-002	3.4408e-002	-2.0275e-002	582.99
32786	1.0295e-002	3.4408e-002	-1.8675e-002	608.12
32787	9.602e-003	3.4408e-002	-1.9875e-002	589.32
32788	9.602e-003	3.4408e-002	-1.9075e-002	602.09
32789	1.0295e-002	3.9408e-002	-2.0275e-002	575.09
32790	1.0295e-002	3.9408e-002	-1.8675e-002	596.4
32791	9.602e-003	3.9408e-002	-1.9875e-002	580.56
32792	9.602e-003	3.9408e-002	-1.9075e-002	591.24
32793	1.0295e-002	3.3927e-002	-1.9475e-002	595.4
32794	1.0295e-002	3.4408e-002	-2.7751e-003	259.81
32795	1.0295e-002	3.4408e-002	-1.1751e-003	238.42
32796	9.602e-003	3.4408e-002	-2.3751e-003	254.08
