Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°C)
32740	1.0295e-002	-1.5342e-002	-4.0001e-003	198.99
32741	3.9459e-003	-2.1572e-002	-4.0001e-003	165.97
32742	6.5465e-003	-1.6567e-002	-4.0001e-003	190.39
32743	4.7078e-003	-2.1586e-002	-4.7621e-003	185.86
32744	4.1554e-003	-2.1576e-002	-4.5249e-003	176.27
32745	7.5623e-003	-1.6818e-002	-4.7621e-003	212.27
32746	1.3119e-002	-1.6871e-002	-4.7621e-003	210.67
32747	1.5882e-002	-2.1798e-002	-4.7621e-003	185.63
32748	1.6644e-002	-2.1813e-002	-4.0001e-003	165.97
32749	1.6434e-002	-2.1809e-002	-4.5251e-003	176.42
32750	1.4827e-002	-1.7245e-002	-4.0001e-003	185.41
32751	1.4358e-002	-1.6697e-004	-5.1431e-003	243.26
32752	1.5628e-002	-1.8718e-004	-3.8731e-003	201.34
32753	1.5256e-002	-1.8126e-004	-4.7711e-003	223.03
32754	1.0295e-002	5.2317e-003	-3.8731e-003	222.79
32755	1.4096e-002	3.6393e-003	-3.8731e-003	213.59
32756	4.9615e-003	-1.7391e-005	-3.8731e-003	203.44
32757	6.5532e-003	3.6993e-003	-3.8731e-003	214.74
32758	6.2313e-003	-3.7604e-005	-5.1431e-003	244.07
32759	5.5069e-003	-2.6073e-005	-4.9162e-003	229.14
32760	7.4557e-003	2.8054e-003	-5.1431e-003	253.79
32761	1.0327e-002	3.9616e-003	-5.1431e-003	258.
32762	1.318e-002	2.7599e-003	-5.1431e-003	251.42
32763	1.0295e-002	1.5138e-002	-4.0001e-003	230.9
32764	1.6644e-002	2.1367e-002	-4.0001e-003	211.98
32765	1.4511e-002	1.674e-002	-4.0001e-003	221.23
32766	1.5882e-002	2.1382e-002	-4.7621e-003	240.87
32767	1.6421e-002	2.1371e-002	-4.5389e-003	226.28
32768	1.3027e-002	1.6613e-002	-4.7621e-003	252.92
32769	7.4702e-003	1.6666e-002	-4.7621e-003	252.34
32770	4.7078e-003	2.1594e-002	-4.7621e-003	242.45
32771	3.9459e-003	2.1608e-002	-4.0001e-003	211.74
32772	4.1567e-003	2.1604e-002	-4.5263e-003	227.45
32773	5.7622e-003	1.704e-002	-4.0001e-003	220.01
32774	1.0295e-002	-3.1961e-002	-3.787e-003	128.07
32775	1.0295e-002	-3.1961e-002	-7.087e-003	156.8
32776	8.8658e-003	-3.1961e-002	-4.612e-003	135.13
32777	8.8658e-003	-3.1961e-002	-6.262e-003	149.92
32778	1.0295e-002	-4.2061e-002	-3.787e-003	106.79
32779	1.0295e-002	-3.7011e-002	-3.787e-003	110.6
32780	1.0295e-002	-4.2061e-002	-7.087e-003	117.67
32781	8.8658e-003	-4.2061e-002	-4.612e-003	110.13
32782	8.8658e-003	-4.2061e-002	-6.262e-003	115.54
32783	1.0295e-002	-3.7011e-002	-7.087e-003	134.94
32784	1.0295e-002	-3.097e-002	-5.437e-003	148.12
32785	1.0295e-002	3.4408e-002	-2.0275e-002	500.5
32786	1.0295e-002	3.4408e-002	-1.8675e-002	529.77
32787	9.602e-003	3.4408e-002	-1.9875e-002	507.93
32788	9.602e-003	3.4408e-002	-1.9075e-002	522.79
32789	1.0295e-002	3.9408e-002	-2.0275e-002	491.31
32790	1.0295e-002	3.9408e-002	-1.8675e-002	517.7
32791	9.602e-003	3.9408e-002	-1.9875e-002	498.13
32792	9.602e-003	3.9408e-002	-1.9075e-002	511.27
32793	1.0295e-002	3.3927e-002	-1.9475e-002	515.15
32794	1.0295e-002	3.4408e-002	-2.7751e-003	200.43
32795	1.0295e-002	3.4408e-002	-1.1751e-003	180.07
32796	9.602e-003	3.4408e-002	-2.3751e-003	194.99
32797	9.602e-003	3.4408e-002	-1.5751e-003	185.18
32798	1.0295e-002	3.9408e-002	-2.7751e-003	205.91
32799	1.0295e-002	3.9408e-002	-1.1751e-003	180.12
32800	9.602e-003	3.9408e-002	-2.3751e-003	200.17
32801	9.602e-003	3.9408e-002	-1.5751e-003	187.28
32802	1.0295e-002	3.3927e-002	-1.9751e-003	189.74
32803	-2.4052e-003	4.0646e-002	1.2891e-002	74.41
32804	-5.7072e-003	4.0646e-002	9.5889e-003	106.09
32805	-4.7401e-003	4.0646e-002	1.1924e-002	87.797
32806	-6.4692e-003	4.1408e-002	9.5889e-003	106.16
32807	-2.4052e-003	4.1408e-002	1.3653e-002	74.321
32808	-5.2789e-003	4.1408e-002	1.2463e-002	87.4
32809	1.0295e-002	2.7838e-002	6.2869e-003	150.15
32810	1.0295e-002	1.5138e-002	6.2869e-003	151.29
32811	1.5794e-002	2.4663e-002	6.2869e-003	144.65
32812	1.5794e-002	1.8313e-002	6.2869e-003	145.1
32813	1.0295e-002	2.7838e-002	-4.0001e-003	221.84
32814	1.0295e-002	2.7838e-002	1.5329e-004	173.02
32815	1.4827e-002	2.5935e-002	-4.0001e-003	216.64
32816	1.0295e-002	1.5138e-002	1.1434e-003	169.19
32817	1.0295e-002	-1.5342e-002	6.2869e-003	136.94
32818	1.0295e-002	-2.8042e-002	6.2869e-003	101.59
32819	1.5794e-002	-1.8517e-002	6.2869e-003	127.18
32820	1.6199e-002	-2.4029e-002	6.2869e-003	113.52
32821	1.0295e-002	-1.5342e-002	1.1434e-003	151.43
32822	1.0295e-002	-2.8042e-002	-4.0001e-003	145.9
32823	1.4742e-002	-2.6225e-002	-4.0001e-003	153.1
32824	1.0295e-002	-2.8042e-002	1.1434e-003	110.71
32825	2.2995e-002	-4.3299e-002	1.2891e-002	68.637
32826	2.6297e-002	-4.3299e-002	9.5889e-003	92.202
32827	2.533e-002	-4.3299e-002	1.1924e-002	79.316
32828	2.7059e-002	-4.4061e-002	9.5889e-003	92.499
32829	2.2995e-002	-4.4061e-002	1.3653e-002	68.299
32830	2.5868e-002	-4.4061e-002	1.2463e-002	79.09
32831	-2.4052e-003	4.0646e-002	6.2869e-003	139.35
32832	-4.7401e-003	4.0646e-002	7.254e-003	125.07
32833	-5.7072e-003	-4.3299e-002	9.5889e-003	92.336
32834	-5.7072e-003	3.3014e-002	9.5889e-003	109.33
32835	-5.7072e-003	2.5383e-002	9.5889e-003	111.39
32836	-5.7072e-003	1.7752e-002	9.5889e-003	112.13
32837	-5.7072e-003	1.012e-002	9.5889e-003	111.8
32838	-5.7072e-003	2.489e-003	9.5889e-003	111.27
32839	-5.7072e-003	-5.1423e-003	9.5889e-003	108.52
32840	-5.7072e-003	-1.2774e-002	9.5889e-003	105.84
32841	-5.7072e-003	-2.0405e-002	9.5889e-003	102.52
32842	-5.7072e-003	-2.8036e-002	9.5889e-003	99.056
32843	-5.7072e-003	-3.5668e-002	9.5889e-003	95.839
32844	-2.4052e-003	-4.3299e-002	6.2869e-003	101.09
32845	-4.7401e-003	-4.3299e-002	7.254e-003	100.92
32846	-2.4052e-003	-3.5668e-002	6.2869e-003	105.39
32847	-2.4052e-003	-2.8036e-002	6.2869e-003	112.77
32848	-2.4052e-003	-2.0405e-002	6.2869e-003	120.36
32849	-2.4052e-003	-1.2774e-002	6.2869e-003	126.53
32850	-2.4052e-003	-5.1423e-003	6.2869e-003	131.3
32851	-2.4052e-003	2.489e-003	6.2869e-003	134.47
32852	-2.4052e-003	1.012e-002	6.2869e-003	136.8
32853	-2.4052e-003	1.7265e-002	6.2869e-003	137.72
32854	-2.4052e-003	2.5383e-002	6.2869e-003	138.2
32855	-2.4052e-003	3.1954e-002	6.2869e-003	138.26
32856	1.0295e-002	-5.4363e-003	-3.8731e-003	209.39
32857	1.4036e-002	-3.9039e-003	-3.8731e-003	203.05
32858	1.0295e-002	-5.4363e-003	6.2869e-003	139.99
32859	1.0295e-002	-5.4363e-003	1.2069e-003	155.16
32860	1.0295e-002	5.2317e-003	6.2869e-003	150.17
32861	1.4914e-002	2.5647e-003	6.2869e-003	144.3
32862	1.4914e-002	-2.7693e-003	6.2869e-003	139.05
32863	1.0295e-002	5.2317e-003	1.2069e-003	166.97
32864	1.0295e-002	-2.408e-002	-2.4475e-002	266.73
32865	1.0295e-002	-1.9305e-002	-2.4475e-002	321.4
32866	1.2363e-002	-2.2886e-002	-2.4475e-002	283.57
32867	1.2363e-002	-2.0498e-002	-2.4475e-002	312.32
32868	1.0295e-002	-2.408e-002	-4.7621e-003	184.08
32869	1.0295e-002	-2.408e-002	-1.7904e-002	277.06
32870	1.0295e-002	-2.408e-002	-1.1333e-002	233.31
32871	1.0295e-002	-1.9305e-002	-4.7621e-003	221.83
32872	1.2363e-002	-2.2886e-002	-4.7621e-003	191.06
32873	1.2363e-002	-2.0498e-002	-4.7621e-003	206.85
32874	1.0295e-002	-1.9305e-002	-1.7904e-002	350.19
32875	1.0295e-002	-1.9305e-002	-1.1333e-002	289.38
32876	1.0295e-002	1.91e-002	-2.4475e-002	438.
32877	1.0295e-002	2.3875e-002	-2.4475e-002	450.98
32878	1.2363e-002	2.0294e-002	-2.4475e-002	443.73
32879	1.2363e-002	2.2682e-002	-2.4475e-002	448.48
32880	1.0295e-002	1.91e-002	-4.7621e-003	271.29
32881	1.0295e-002	1.91e-002	-1.7904e-002	453.1
32882	1.0295e-002	1.91e-002	-1.0716e-002	349.51
32883	1.0295e-002	2.3875e-002	-4.7621e-003	269.47
32884	1.2119e-002	1.9947e-002	-4.7621e-003	269.42
32885	1.2363e-002	2.2682e-002	-4.7621e-003	263.72
32886	1.0295e-002	2.3875e-002	-1.7904e-002	490.27
32887	1.0295e-002	2.3875e-002	-1.1333e-002	381.6
32888	8.2271e-003	2.2682e-002	-2.4475e-002	449.67
32889	8.1566e-003	2.0425e-002	-2.4475e-002	442.88
32890	8.2271e-003	2.2682e-002	-4.7621e-003	268.87
32891	8.4395e-003	1.9985e-002	-4.7621e-003	265.57
32892	8.2271e-003	-2.0498e-002	-2.4475e-002	311.1
32893	8.2271e-003	-2.2886e-002	-2.4475e-002	281.99
32894	8.2271e-003	-2.0498e-002	-4.7621e-003	211.26
32895	8.2271e-003	-2.2886e-002	-4.7621e-003	188.65
32896	-3.3705e-002	-4.2061e-002	-2.4475e-002	128.14
32897	-3.3705e-002	-4.2061e-002	-2.3475e-002	131.17
32898	-3.5941e-002	-4.2061e-002	-2.4475e-002	138.42
32899	5.4295e-002	-4.2061e-002	-2.4475e-002	123.65
32900	5.4295e-002	-4.2061e-002	-2.3475e-002	126.97
32901	5.6531e-002	-4.2061e-002	-2.4475e-002	133.23
32902	-8.4692e-003	-4.2061e-002	9.5889e-003	96.167
32903	-8.4692e-003	-4.2061e-002	1.7525e-002	80.315
32904	-8.4692e-003	-4.2061e-002	1.3557e-002	87.015
32905	-1.1469e-002	-4.2061e-002	2.0525e-002	82.294
32906	-9.3479e-003	-4.2061e-002	1.9646e-002	79.087
32907	-3.2823e-002	-4.2061e-002	2.0525e-002	87.762
32908	-1.8587e-002	-4.2061e-002	2.0525e-002	89.154
32909	-2.5705e-002	-4.2061e-002	2.0525e-002	89.747
32910	-3.5382e-002	-4.2061e-002	1.909e-002	88.31
32911	-3.9624e-002	-4.2061e-002	1.2156e-002	92.262
32912	-3.7503e-002	-4.2061e-002	1.5623e-002	91.127
