Time,Average CPS Temperature,Total CPS Evaporation_Rate,Total Amount Evaporated
0.01,71.21902126509812,1.489577455893024e-15,123.85566992253047
0.1,71.21902126509812,1.489577455893024e-15,123.85566992253047
1.0,71.21902126509812,1.489577455893024e-15,123.85566992253047
2.0,88.80043538583283,3.835356573352221e-14,123.85566992253047
3.0,123.46780004811346,8.164944925103877e-12,123.85566992253047
4.0,155.065507814325,4.328114370730637e-10,123.85566992253047
5.0,181.59223165837682,7.098268116896479e-09,123.85566992253047
6.0,206.67155429498712,7.007782806628996e-08,123.85566992253047
7.0,231.3220068816921,5.033776899848302e-07,123.85566992253047
8.0,248.7280590779224,1.6986807794266789e-06,123.85566992253047
9.0,266.1341929379517,5.216233898256953e-06,123.85566992253047
10.0,283.54030058226186,1.4725046441644244e-05,123.85566992253047
11.0,300.94639041534293,3.855300692769482e-05,123.85566992253047
12.0,318.35244472157217,9.43447838795821e-05,123.85566992253047
13.0,331.4251103945868,0.00017198919472005605,123.85566992253047
14.0,341.747598960561,0.00026395619645786433,123.85566992253047
15.0,352.07024559312623,0.00039909621078048507,123.85566992253047
16.0,362.39273271037587,0.0005949204847857367,123.85566992253047
17.0,372.71523570146223,0.0008749659632593788,123.85566992253047
18.0,383.03776731822495,0.0012704656489460704,123.85566992253047
19.0,393.3603240703741,0.0018223920457223822,123.85566992253047
20.0,403.6827824107606,0.002583937500396121,123.85566992253047
21.0,414.0053755470988,0.0036234277653031106,123.85566992253047
22.0,424.32785863631875,0.005027816525589243,123.85566992253047
23.0,434.6504032424834,0.0069066715660265525,123.85566992253047
24.0,441.7526341528377,0.008322187162269689,123.85566992253047
25.0,447.62423287777114,0.00954718705076249,123.85566992253047
26.0,453.4959664333671,0.010935008500449045,123.85566992253047
27.0,459.36761920481996,0.012504922032325401,123.85566992253047
28.0,465.23931832847654,0.01427814846846301,123.85566992253047
29.0,471.11101061906663,0.01627814979725656,123.85566992253047
30.0,476.9826508839782,0.018530592986777294,123.85566992253047
31.0,482.85432397934676,0.021063946407495537,123.85566992253047
32.0,488.7261288355779,0.023909195348085905,123.85566992253047
