Time,Average CPS Temperature,Total CPS Evaporation_Rate,Total Amount Evaporated
146.5167,65.9279384721825,1.7407593079232136e-13,0.23972582474123086
146.6,89.66054929973319,7.300786124882083e-10,0.23972582474123086
146.7,119.31961057711173,7.200172197690288e-07,0.23972582474123086
146.8,137.95980861259585,1.0028935283714474e-05,0.23972582474123086
146.9,156.5999107928016,8.83920978748018e-05,0.23972582474123086
147.0,172.0652460924245,0.000332180844583489,0.23972582474123086
147.1,183.96713001048172,0.0006381031140581911,0.23972582474123086
147.2,195.86899281919838,0.0011795734777948162,0.23972582474123086
147.3,207.77088234223754,0.0021045348679405644,0.23972582474123086
147.4,219.67279648656788,0.003633907413367907,0.23972582474123086
147.5,230.20999415459087,0.005315980612985852,0.23972582474123086
148.5,311.3358798557211,0.020497754052257306,0.23972582474123086
149.5,373.27343225928905,0.031345942517054054,0.23972582474123086
150.5,426.1610751591392,0.042308096688715026,0.23972582474123086
151.4,469.0999020277669,0.05356442325811345,0.23972582474123086
