Temperature_C,convConstant
200.0,7.415383193242253e-05
201.2012012012012,8.166964642765912e-05
202.4024024024024,8.99020800573264e-05
203.6036036036036,9.89150685313008e-05
204.8048048048048,0.00010877785003861993
206.006006006006,0.00011956537064314629
207.2072072072072,0.00013135871794212883
208.4084084084084,0.0001442455847578418
209.6096096096096,0.00015832076472993255
210.8108108108108,0.00017368668177817728
212.012012012012,0.0001904539555120104
213.2132132132132,0.00020874200477491697
214.4144144144144,0.000228679691628391
215.6156156156156,0.00025040600820222406
216.8168168168168,0.000274070808965237
218.018018018018,0.0002998355911036542
219.2192192192192,0.00032787432583314104
220.4204204204204,0.00035837434361546834
221.6216216216216,0.00039153727640188653
222.82282282282281,0.0004275800601828381
224.02402402402402,0.0004667360012878557
225.22522522522522,0.0005092559100505688
226.42642642642642,0.0005554093056319224
227.62762762762762,0.0006054856959801314
228.82882882882882,0.0006597959370989851
230.03003003003002,0.0007186736759967094
231.23123123123122,0.0007824768818966679
232.43243243243245,0.0008515894705078716
233.63363363363362,0.0009264230263790286
234.83483483483485,0.001007418628593991
236.03603603603602,0.001095048785309753
237.23723723723725,0.0011898194828905981
238.43843843843842,0.0012922723556539734
239.63963963963965,0.0014029869825155656
240.84084084084083,0.0015225833171025737
242.04204204204206,0.0016517242581965772
243.24324324324323,0.0017911183676698433
244.44444444444446,0.00194152274339265
245.64564564564563,0.002103746054913465
246.84684684684686,0.002278651750050667
248.04804804804803,0.0024671614408812237
249.24924924924926,0.0026702584779725895
250.45045045045046,0.002888991722075342
251.65165165165166,0.0031244795228790446
252.85285285285286,0.003377913914831418
254.05405405405406,0.0036505650404312765
255.25525525525526,0.003943785811829935
256.45645645645646,0.0042590168220139986
257.65765765765764,0.004597791517294036
258.85885885885887,0.004961741643289822
260.06006006006004,0.005352602977084834
261.26126126126127,0.005772221358717481
262.46246246246244,0.006222559035688961
263.66366366366367,0.00670570133469374
264.8648648648649,0.007223863675322251
266.06606606606607,0.007779398941043784
267.26726726726724,0.008374805223354398
268.4684684684685,0.00901273395556511
269.6696696696697,0.009695998453318106
270.8708708708709,0.010427582879543148
272.07207207207205,0.011210651652213022
273.2732732732733,0.012048559313919804
274.4744744744745,0.012944860882973669
275.6756756756757,0.013903322706428486
276.87687687687685,0.014927933836155548
278.0780780780781,0.01602291794982652
279.2792792792793,0.017192745839423925
280.4804804804805,0.018442148490676793
281.68168168168165,0.01977613077761543
282.8828828828829,0.021199985797261352
284.0840840840841,0.022719309870302132
285.2852852852853,0.024340018234468897
286.48648648648646,0.026068361458211887
287.6876876876877,0.02791094260317148
288.8888888888889,0.029874735164873403
290.0900900900901,0.031967101822019776
291.29129129129126,0.03419581402571936
292.4924924924925,0.0365690724609957
293.6936936936937,0.039095528413923365
294.8948948948949,0.041784306078784736
296.09609609609606,0.044645025840706294
297.2972972972973,0.04768782857030743
298.4984984984985,0.05092340096802319
299.6996996996997,0.05436300199687908
300.9009009009009,0.05801849044366996
302.1021021021021,0.06190235364966755
303.3033033033033,0.06602773745319716
304.5045045045045,0.07040847738765349
305.7057057057057,0.0750591311797892
306.9069069069069,0.07999501259438256
308.1081081081081,0.08523222667271982
309.3093093093093,0.0907877064136425
310.5105105105105,0.09667925094728784
311.7117117117117,0.10292556525302361
312.91291291291293,0.10954630147451212
314.1141141141141,0.11656210188624865
315.31531531531533,0.12399464356742541
316.5165165165165,0.13186668484042074
317.71771771771773,0.14020211353277373
318.9189189189189,0.14902599712302486
320.12012012012013,0.15836463483238183
321.3213213213213,0.16824561172578104
322.52252252252254,0.17869785488753206
323.7237237237237,0.18975169173837217
324.92492492492494,0.20143891056249483
326.1261261261261,0.21379282331473107
327.32732732732734,0.2268483307799046
328.52852852852857,0.2406419901580584
329.72972972972974,0.25521208515107946
330.9309309309309,0.2705986986280692
